Time,Node,Stock,Action,Demand,Delivery,Reward
1,A,30.0,0.0,0.0,0.0,0.0
1,B,28.0,0.0,0.0,0.0,0.0
1,C,32.0,0.0,0.0,0.0,0.0
2,A,30.0,15.0,0.0,0.0,-3.0
2,B,28.0,15.0,0.0,0.0,-3.0
2,C,29.0,15.0,3.0,0.0,-3.0
3,A,30.0,15.0,0.0,0.0,101.0
3,B,20.0,15.0,8.0,0.0,101.0
3,C,29.0,15.0,0.0,0.0,101.0
4,A,22.0,15.0,8.0,0.0,248.5
4,B,20.0,15.0,0.0,0.0,248.5
4,C,22.0,15.0,7.0,0.0,248.5
5,A,27.0,15.0,10.0,15.0,397.5
5,B,22.0,15.0,13.0,15.0,397.5
5,C,37.0,15.0,0.0,15.0,397.5
6,A,42.0,15.0,0.0,15.0,-85.0
6,B,37.0,15.0,0.0,15.0,-85.0
6,C,52.0,15.0,0.0,15.0,-85.0
7,A,46.0,15.0,11.0,15.0,233.5
7,B,47.0,0.0,5.0,15.0,233.5
7,C,67.0,0.0,0.0,15.0,233.5
8,A,61.0,0.0,0.0,15.0,-102.5
8,B,62.0,0.0,0.0,15.0,-102.5
8,C,82.0,0.0,0.0,15.0,-102.5
9,A,72.0,0.0,4.0,15.0,-43.0
9,B,77.0,0.0,0.0,15.0,-43.0
9,C,97.0,0.0,0.0,15.0,-43.0
10,A,77.0,0.0,10.0,15.0,74.5
10,B,77.0,0.0,0.0,0.0,74.5
10,C,97.0,0.0,0.0,0.0,74.5
11,A,68.0,0.0,9.0,0.0,264.0
11,B,77.0,0.0,0.0,0.0,264.0
11,C,87.0,0.0,10.0,0.0,264.0
12,A,68.0,0.0,0.0,0.0,-13.5
12,B,72.0,0.0,5.0,0.0,-13.5
12,C,87.0,0.0,0.0,0.0,-13.5
13,A,54.0,0.0,14.0,0.0,522.0
13,B,62.0,0.0,10.0,0.0,522.0
13,C,80.0,0.0,7.0,0.0,522.0
14,A,54.0,0.0,0.0,0.0,271.0
14,B,54.0,0.0,8.0,0.0,271.0
14,C,70.0,0.0,10.0,0.0,271.0
15,A,54.0,0.0,0.0,0.0,13.5
15,B,54.0,0.0,0.0,0.0,13.5
15,C,65.0,0.0,5.0,0.0,13.5
16,A,54.0,0.0,0.0,0.0,57.0
16,B,47.0,0.0,7.0,0.0,57.0
16,C,65.0,0.0,0.0,0.0,57.0
17,A,46.0,0.0,8.0,0.0,511.5
17,B,39.0,0.0,8.0,0.0,511.5
17,C,52.0,0.0,13.0,0.0,511.5
18,A,46.0,0.0,0.0,0.0,-68.5
18,B,39.0,0.0,0.0,0.0,-68.5
18,C,52.0,0.0,0.0,0.0,-68.5
19,A,46.0,0.0,0.0,0.0,54.5
19,B,39.0,0.0,0.0,0.0,54.5
19,C,46.0,0.0,6.0,0.0,54.5
20,A,33.0,0.0,13.0,0.0,631.5
20,B,28.0,0.0,11.0,0.0,631.5
20,C,36.0,0.0,10.0,0.0,631.5
21,A,33.0,15.0,0.0,0.0,-68.0
21,B,28.0,15.0,0.0,0.0,-68.0
21,C,36.0,15.0,0.0,0.0,-68.0
22,A,22.0,15.0,11.0,0.0,403.5
22,B,21.0,15.0,7.0,0.0,403.5
22,C,31.0,15.0,5.0,0.0,403.5
23,A,12.0,15.0,10.0,0.0,148.5
23,B,21.0,15.0,0.0,0.0,148.5
23,C,31.0,15.0,0.0,0.0,148.5
24,A,27.0,15.0,0.0,15.0,172.0
24,B,24.0,15.0,12.0,15.0,172.0
24,C,46.0,15.0,0.0,15.0,172.0
25,A,42.0,15.0,0.0,15.0,-8.5
25,B,39.0,15.0,0.0,15.0,-8.5
25,C,57.0,15.0,4.0,15.0,-8.5
26,A,49.0,0.0,8.0,15.0,421.0
26,B,54.0,0.0,0.0,15.0,421.0
26,C,55.0,0.0,17.0,15.0,421.0
27,A,59.0,0.0,5.0,15.0,1.0
27,B,69.0,0.0,0.0,15.0,1.0
27,C,70.0,0.0,0.0,15.0,1.0
28,A,63.0,0.0,11.0,15.0,104.0
28,B,84.0,0.0,0.0,15.0,104.0
28,C,85.0,0.0,0.0,15.0,104.0
29,A,53.0,0.0,10.0,0.0,253.0
29,B,84.0,0.0,0.0,0.0,253.0
29,C,77.0,0.0,8.0,0.0,253.0
30,A,47.0,0.0,6.0,0.0,16.0
30,B,84.0,0.0,0.0,0.0,16.0
30,C,77.0,0.0,0.0,0.0,16.0
31,A,47.0,0.0,0.0,0.0,-1.5
31,B,79.0,0.0,5.0,0.0,-1.5
31,C,77.0,0.0,0.0,0.0,-1.5
32,A,32.0,0.0,15.0,0.0,206.0
32,B,79.0,0.0,0.0,0.0,206.0
32,C,77.0,0.0,0.0,0.0,206.0
33,A,32.0,0.0,0.0,0.0,336.5
33,B,65.0,0.0,14.0,0.0,336.5
33,C,70.0,0.0,7.0,0.0,336.5
34,A,22.0,0.0,10.0,0.0,265.0
34,B,65.0,0.0,0.0,0.0,265.0
34,C,63.0,0.0,7.0,0.0,265.0
35,A,16.0,15.0,6.0,0.0,41.5
35,B,65.0,0.0,0.0,0.0,41.5
35,C,63.0,0.0,0.0,0.0,41.5
