Time,Node,Stock,Action,Demand,Delivery,Reward
1,A,30.0,0.0,0.0,0.0,0.0
1,B,28.0,0.0,0.0,0.0,0.0
1,C,32.0,0.0,0.0,0.0,0.0
2,A,19.0,50.0,11.0,0.0,584.5
2,B,20.0,50.0,8.0,0.0,584.5
2,C,19.0,15.0,13.0,0.0,584.5
3,A,15.0,50.0,4.0,0.0,289.5
3,B,20.0,50.0,0.0,0.0,289.5
3,C,6.0,50.0,13.0,0.0,289.5
4,A,15.0,50.0,0.0,0.0,52.0
4,B,15.0,50.0,5.0,0.0,52.0
4,C,6.0,50.0,0.0,0.0,52.0
5,A,59.0,50.0,6.0,50.0,140.5
5,B,65.0,50.0,0.0,50.0,140.5
5,C,15.0,50.0,6.0,15.0,140.5
6,A,104.0,0.0,5.0,50.0,-52.0
6,B,115.0,0.0,0.0,50.0,-52.0
6,C,65.0,50.0,0.0,50.0,-52.0
7,A,154.0,0.0,0.0,50.0,8.5
7,B,165.0,0.0,0.0,50.0,8.5
7,C,104.0,0.0,11.0,50.0,8.5
8,A,204.0,0.0,0.0,50.0,-143.0
8,B,215.0,0.0,0.0,50.0,-143.0
8,C,147.0,0.0,7.0,50.0,-143.0
9,A,194.0,0.0,10.0,0.0,-103.0
9,B,215.0,0.0,0.0,0.0,-103.0
9,C,197.0,0.0,0.0,50.0,-103.0
10,A,185.0,0.0,9.0,0.0,-118.5
10,B,215.0,0.0,0.0,0.0,-118.5
10,C,197.0,0.0,0.0,0.0,-118.5
11,A,185.0,0.0,0.0,0.0,-298.5
11,B,215.0,0.0,0.0,0.0,-298.5
11,C,197.0,0.0,0.0,0.0,-298.5
12,A,181.0,0.0,4.0,0.0,-216.5
12,B,215.0,0.0,0.0,0.0,-216.5
12,C,197.0,0.0,0.0,0.0,-216.5
13,A,181.0,0.0,0.0,0.0,-91.5
13,B,205.0,0.0,10.0,0.0,-91.5
13,C,197.0,0.0,0.0,0.0,-91.5
14,A,181.0,0.0,0.0,0.0,-25.0
14,B,205.0,0.0,0.0,0.0,-25.0
14,C,184.0,0.0,13.0,0.0,-25.0
15,A,181.0,0.0,0.0,0.0,84.0
15,B,194.0,0.0,11.0,0.0,84.0
15,C,177.0,0.0,7.0,0.0,84.0
16,A,181.0,0.0,0.0,0.0,-9.5
16,B,181.0,0.0,13.0,0.0,-9.5
16,C,177.0,0.0,0.0,0.0,-9.5
17,A,175.0,0.0,6.0,0.0,304.5
17,B,169.0,0.0,12.0,0.0,304.5
17,C,167.0,0.0,10.0,0.0,304.5
18,A,175.0,0.0,0.0,0.0,52.0
18,B,162.0,0.0,7.0,0.0,52.0
18,C,159.0,0.0,8.0,0.0,52.0
19,A,175.0,0.0,0.0,0.0,-22.5
19,B,151.0,0.0,11.0,0.0,-22.5
19,C,159.0,0.0,0.0,0.0,-22.5
20,A,170.0,0.0,5.0,0.0,-17.0
20,B,145.0,0.0,6.0,0.0,-17.0
20,C,159.0,0.0,0.0,0.0,-17.0
21,A,159.0,0.0,11.0,0.0,398.5
21,B,139.0,0.0,6.0,0.0,398.5
21,C,145.0,0.0,14.0,0.0,398.5
22,A,159.0,0.0,0.0,0.0,-221.5
22,B,139.0,0.0,0.0,0.0,-221.5
22,C,145.0,0.0,0.0,0.0,-221.5
23,A,155.0,0.0,4.0,0.0,-37.0
23,B,139.0,0.0,0.0,0.0,-37.0
23,C,140.0,0.0,5.0,0.0,-37.0
24,A,155.0,0.0,0.0,0.0,29.0
24,B,139.0,0.0,0.0,0.0,29.0
24,C,128.0,0.0,12.0,0.0,29.0
25,A,155.0,0.0,0.0,0.0,-26.5
25,B,139.0,0.0,0.0,0.0,-26.5
25,C,119.0,0.0,9.0,0.0,-26.5
26,A,155.0,0.0,0.0,0.0,142.0
26,B,128.0,0.0,11.0,0.0,142.0
26,C,113.0,0.0,6.0,0.0,142.0
27,A,155.0,0.0,0.0,0.0,232.5
27,B,118.0,0.0,10.0,0.0,232.5
27,C,102.0,0.0,11.0,0.0,232.5
28,A,149.0,0.0,6.0,0.0,58.5
28,B,118.0,0.0,0.0,0.0,58.5
28,C,96.0,0.0,6.0,0.0,58.5
29,A,149.0,0.0,0.0,0.0,331.0
29,B,105.0,0.0,13.0,0.0,331.0
29,C,84.0,0.0,12.0,0.0,331.0
30,A,149.0,0.0,0.0,0.0,282.0
30,B,90.0,0.0,15.0,0.0,282.0
30,C,77.0,0.0,7.0,0.0,282.0
31,A,149.0,0.0,0.0,0.0,-158.0
31,B,90.0,0.0,0.0,0.0,-158.0
31,C,77.0,0.0,0.0,0.0,-158.0
32,A,149.0,0.0,0.0,0.0,-158.0
32,B,90.0,0.0,0.0,0.0,-158.0
32,C,77.0,0.0,0.0,0.0,-158.0
33,A,140.0,0.0,9.0,0.0,26.5
33,B,90.0,0.0,0.0,0.0,26.5
33,C,77.0,0.0,0.0,0.0,26.5
34,A,140.0,0.0,0.0,0.0,31.0
34,B,86.0,0.0,4.0,0.0,31.0
34,C,72.0,0.0,5.0,0.0,31.0
35,A,135.0,0.0,5.0,0.0,117.5
35,B,78.0,0.0,8.0,0.0,117.5
