Time,Node,Stock,Action,Demand,Delivery,Reward
1,A,30.0,0.0,0.0,0.0,0.0
1,B,28.0,0.0,0.0,0.0,0.0
1,C,32.0,0.0,0.0,0.0,0.0
2,A,30.0,15.0,0.0,0.0,-51.5
2,B,28.0,0.0,0.0,0.0,-51.5
2,C,32.0,0.0,0.0,0.0,-51.5
3,A,30.0,15.0,0.0,0.0,-58.0
3,B,28.0,0.0,0.0,0.0,-58.0
3,C,32.0,15.0,0.0,0.0,-58.0
4,A,18.0,15.0,12.0,0.0,393.0
4,B,28.0,0.0,0.0,0.0,393.0
4,C,22.0,15.0,10.0,0.0,393.0
5,A,33.0,15.0,0.0,15.0,212.0
5,B,28.0,0.0,0.0,0.0,212.0
5,C,9.0,15.0,13.0,0.0,212.0
6,A,37.0,15.0,11.0,15.0,162.5
6,B,28.0,0.0,0.0,0.0,162.5
6,C,24.0,15.0,0.0,15.0,162.5
7,A,52.0,15.0,0.0,15.0,57.0
7,B,28.0,0.0,0.0,0.0,57.0
7,C,33.0,0.0,6.0,15.0,57.0
8,A,56.0,15.0,11.0,15.0,373.0
8,B,17.0,0.0,11.0,0.0,373.0
8,C,48.0,0.0,0.0,15.0,373.0
9,A,65.0,15.0,6.0,15.0,130.5
9,B,17.0,15.0,0.0,0.0,130.5
9,C,58.0,15.0,5.0,15.0,130.5
10,A,74.0,15.0,6.0,15.0,39.0
10,B,17.0,0.0,0.0,0.0,39.0
10,C,58.0,0.0,0.0,0.0,39.0
11,A,89.0,0.0,0.0,15.0,102.5
11,B,17.0,0.0,0.0,0.0,102.5
11,C,49.0,0.0,9.0,0.0,102.5
12,A,104.0,0.0,0.0,15.0,-100.0
12,B,32.0,0.0,0.0,15.0,-100.0
12,C,64.0,0.0,0.0,15.0,-100.0
13,A,119.0,0.0,0.0,15.0,77.0
13,B,23.0,0.0,9.0,0.0,77.0
13,C,64.0,0.0,0.0,0.0,77.0
14,A,113.0,0.0,6.0,0.0,409.5
14,B,14.0,0.0,9.0,0.0,409.5
14,C,54.0,0.0,10.0,0.0,409.5
15,A,113.0,0.0,0.0,0.0,53.0
15,B,14.0,0.0,0.0,0.0,53.0
15,C,47.0,0.0,7.0,0.0,53.0
16,A,113.0,0.0,0.0,0.0,-87.0
16,B,14.0,0.0,0.0,0.0,-87.0
16,C,47.0,0.0,0.0,0.0,-87.0
17,A,113.0,0.0,0.0,0.0,-87.0
17,B,14.0,0.0,0.0,0.0,-87.0
17,C,47.0,0.0,0.0,0.0,-87.0
18,A,105.0,0.0,8.0,0.0,77.0
18,B,14.0,0.0,0.0,0.0,77.0
18,C,47.0,0.0,0.0,0.0,77.0
19,A,98.0,0.0,7.0,0.0,245.0
19,B,14.0,0.0,0.0,0.0,245.0
19,C,38.0,0.0,9.0,0.0,245.0
20,A,98.0,0.0,0.0,0.0,-75.0
20,B,14.0,0.0,0.0,0.0,-75.0
20,C,38.0,0.0,0.0,0.0,-75.0
21,A,98.0,0.0,0.0,0.0,-75.0
21,B,14.0,0.0,0.0,0.0,-75.0
21,C,38.0,0.0,0.0,0.0,-75.0
22,A,98.0,0.0,0.0,0.0,130.0
22,B,14.0,0.0,0.0,0.0,130.0
22,C,28.0,0.0,10.0,0.0,130.0
23,A,93.0,0.0,5.0,0.0,217.0
23,B,14.0,0.0,0.0,0.0,217.0
23,C,19.0,0.0,9.0,0.0,217.0
24,A,93.0,0.0,0.0,0.0,203.5
24,B,1.0,0.0,13.0,0.0,203.5
24,C,19.0,0.0,0.0,0.0,203.5
25,A,93.0,0.0,0.0,0.0,-69.5
25,B,1.0,15.0,0.0,0.0,-69.5
25,C,19.0,15.0,0.0,0.0,-69.5
26,A,88.0,0.0,5.0,0.0,33.0
26,B,1.0,15.0,0.0,0.0,33.0
26,C,19.0,15.0,0.0,0.0,33.0
27,A,80.0,15.0,8.0,0.0,90.5
27,B,1.0,15.0,0.0,0.0,90.5
27,C,19.0,15.0,0.0,0.0,90.5
28,A,68.0,15.0,12.0,0.0,428.0
28,B,16.0,15.0,0.0,15.0,428.0
28,C,21.0,15.0,13.0,15.0,428.0
29,A,68.0,15.0,0.0,0.0,200.0
29,B,21.0,15.0,10.0,15.0,200.0
29,C,32.0,15.0,4.0,15.0,200.0
30,A,75.0,15.0,8.0,15.0,191.0
30,B,36.0,0.0,0.0,15.0,191.0
30,C,41.0,15.0,6.0,15.0,191.0
31,A,90.0,0.0,0.0,15.0,-98.5
31,B,51.0,0.0,0.0,15.0,-98.5
31,C,56.0,0.0,0.0,15.0,-98.5
32,A,99.0,0.0,6.0,15.0,248.0
32,B,66.0,0.0,0.0,15.0,248.0
32,C,59.0,0.0,12.0,15.0,248.0
33,A,103.0,0.0,11.0,15.0,98.5
33,B,66.0,0.0,0.0,0.0,98.5
33,C,74.0,0.0,0.0,15.0,98.5
34,A,103.0,0.0,0.0,0.0,42.5
34,B,58.0,0.0,8.0,0.0,42.5
34,C,74.0,0.0,0.0,0.0,42.5
35,A,103.0,0.0,0.0,0.0,67.0
35,B,49.0,0.0,9.0,0.0,67.0
35,C,74.0,0.0,0.0,0.0,67.0
