Time,Node,Stock,Action,Demand,Delivery,Reward,Backlog
1,A,30.0,0.0,0.0,0.0,-9.0,False
1,B,30.0,0.0,0.0,0.0,-9.0,False
1,C,30.0,0.0,0.0,0.0,-9.0,False
2,A,24.0,0.0,6.0,0.0,232.19999980926514,False
2,B,24.0,0.0,6.0,0.0,232.19999980926514,False
2,C,30.0,0.0,0.0,0.0,232.19999980926514,False
3,A,24.0,0.0,0.0,0.0,153.0,False
3,B,24.0,0.0,0.0,0.0,153.0,False
3,C,22.0,0.0,8.0,0.0,153.0,False
4,A,12.0,0.0,12.0,0.0,294.5,False
4,B,24.0,0.0,0.0,0.0,294.5,False
4,C,19.0,0.0,3.0,0.0,294.5,False
5,A,12.0,0.0,0.0,0.0,296.0,False
5,B,19.0,0.0,5.0,0.0,296.0,False
5,C,9.0,0.0,10.0,0.0,296.0,False
6,A,5.0,0.0,7.0,0.0,377.90000009536743,False
6,B,14.0,0.0,5.0,0.0,377.90000009536743,False
6,C,2.0,0.0,7.0,0.0,377.90000009536743,False
7,A,0.0,0.0,8.0,0.0,-361.39999997615814,True
7,B,14.0,0.0,0.0,0.0,-361.39999997615814,False
7,C,0.0,0.0,7.0,0.0,-361.39999997615814,True
8,A,0.0,0.0,0.0,0.0,-501.39999997615814,True
8,B,14.0,0.0,0.0,0.0,-501.39999997615814,False
8,C,0.0,0.0,7.0,0.0,-501.39999997615814,True
9,A,0.0,0.0,0.0,0.0,-151.39999997615814,True
9,B,14.0,0.0,0.0,0.0,-151.39999997615814,False
9,C,0.0,0.0,0.0,0.0,-151.39999997615814,True
10,A,0.0,0.0,0.0,0.0,69.69999998807907,True
10,B,3.0,0.0,11.0,0.0,69.69999998807907,False
10,C,0.0,0.0,0.0,0.0,69.69999998807907,True
11,A,0.0,0.0,3.0,0.0,-390.0,True
11,B,0.0,0.0,4.0,0.0,-390.0,True
11,C,0.0,0.0,0.0,0.0,-390.0,True
12,A,0.0,50.0,0.0,0.0,-263.5,True
12,B,0.0,50.0,0.0,0.0,-263.5,True
12,C,0.0,50.0,0.0,0.0,-263.5,True
13,A,0.0,50.0,4.0,0.0,-1059.0,True
13,B,0.0,0.0,10.0,0.0,-1059.0,True
13,C,0.0,50.0,0.0,0.0,-1059.0,True
14,A,0.0,50.0,0.0,0.0,-909.0,True
14,B,0.0,0.0,0.0,0.0,-909.0,True
14,C,0.0,50.0,10.0,0.0,-909.0,True
15,A,40.0,50.0,0.0,50.0,1222.1999998092651,False
15,B,31.0,0.0,8.0,50.0,1222.1999998092651,False
15,C,17.0,50.0,11.0,50.0,1222.1999998092651,False
16,A,90.0,0.0,0.0,50.0,-18.80000114440918,False
16,B,31.0,0.0,0.0,0.0,-18.80000114440918,False
16,C,67.0,0.0,0.0,50.0,-18.80000114440918,False
17,A,133.0,0.0,7.0,50.0,292.79999923706055,False
17,B,31.0,0.0,0.0,0.0,292.79999923706055,False
17,C,108.0,0.0,9.0,50.0,292.79999923706055,False
18,A,183.0,0.0,0.0,50.0,-37.20000076293945,False
18,B,31.0,0.0,0.0,0.0,-37.20000076293945,False
18,C,158.0,0.0,0.0,50.0,-37.20000076293945,False
19,A,174.0,0.0,9.0,0.0,264.29999923706055,False
19,B,25.0,0.0,6.0,0.0,264.29999923706055,False
19,C,158.0,0.0,0.0,0.0,264.29999923706055,False
20,A,174.0,0.0,0.0,0.0,-35.70000076293945,False
20,B,25.0,0.0,0.0,0.0,-35.70000076293945,False
20,C,158.0,0.0,0.0,0.0,-35.70000076293945,False
21,A,166.0,0.0,8.0,0.0,205.5,False
21,B,21.0,0.0,4.0,0.0,205.5,False
21,C,158.0,0.0,0.0,0.0,205.5,False
22,A,166.0,0.0,0.0,0.0,166.5,False
22,B,21.0,0.0,0.0,0.0,166.5,False
22,C,148.0,0.0,10.0,0.0,166.5,False
23,A,166.0,0.0,0.0,0.0,-33.5,False
23,B,21.0,0.0,0.0,0.0,-33.5,False
23,C,148.0,0.0,0.0,0.0,-33.5,False
24,A,166.0,0.0,0.0,0.0,46.89999771118164,False
24,B,21.0,0.0,0.0,0.0,46.89999771118164,False
24,C,144.0,0.0,4.0,0.0,46.89999771118164,False
25,A,166.0,0.0,0.0,0.0,-33.10000228881836,False
25,B,21.0,0.0,0.0,0.0,-33.10000228881836,False
25,C,144.0,0.0,0.0,0.0,-33.10000228881836,False
26,A,166.0,0.0,0.0,0.0,-33.10000228881836,False
26,B,21.0,0.0,0.0,0.0,-33.10000228881836,False
26,C,144.0,0.0,0.0,0.0,-33.10000228881836,False
27,A,166.0,0.0,0.0,0.0,-33.10000228881836,False
27,B,21.0,0.0,0.0,0.0,-33.10000228881836,False
27,C,144.0,0.0,0.0,0.0,-33.10000228881836,False
28,A,166.0,0.0,0.0,0.0,167.89999771118164,False
28,B,11.0,0.0,10.0,0.0,167.89999771118164,False
28,C,144.0,0.0,0.0,0.0,167.89999771118164,False
29,A,166.0,0.0,0.0,0.0,410.0999984741211,False
29,B,0.0,0.0,11.0,0.0,410.0999984741211,False
29,C,133.0,0.0,11.0,0.0,410.0999984741211,False
