Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,B,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,C,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
2,A,40.0,0.0,0.0,10.0,238.92,238.92,False
2,B,28.0,0.0,12.0,10.0,238.92,238.92,False
2,C,40.0,0.0,0.0,10.0,238.92,238.92,False
3,A,40.0,0.0,0.0,0.0,-1.08,237.83999999999997,False
3,B,28.0,0.0,0.0,0.0,-1.08,237.83999999999997,False
3,C,40.0,0.0,0.0,0.0,-1.08,237.83999999999997,False
4,A,35.0,0.0,5.0,0.0,179.01,416.84999999999997,False
4,B,24.0,0.0,4.0,0.0,179.01,416.84999999999997,False
4,C,40.0,0.0,0.0,0.0,179.01,416.84999999999997,False
5,A,35.0,0.0,0.0,0.0,219.12,635.97,False
5,B,13.0,0.0,11.0,0.0,219.12,635.97,False
5,C,40.0,0.0,0.0,0.0,219.12,635.97,False
6,A,35.0,0.0,0.0,0.0,-3.88,632.09,False
6,B,13.0,20.0,0.0,0.0,-3.88,632.09,False
6,C,40.0,0.0,0.0,0.0,-3.88,632.09,False
7,A,29.0,0.0,6.0,0.0,116.18,748.27,False
7,B,13.0,20.0,0.0,0.0,116.18,748.27,False
7,C,40.0,0.0,0.0,0.0,116.18,748.27,False
8,A,27.0,0.0,2.0,0.0,136.25,884.52,False
8,B,8.0,20.0,5.0,0.0,136.25,884.52,False
8,C,40.0,0.0,0.0,0.0,136.25,884.52,False
9,A,27.0,0.0,0.0,0.0,-3.95,880.5699999999999,False
9,B,28.0,20.0,0.0,20.0,-3.95,880.5699999999999,False
9,C,40.0,0.0,0.0,0.0,-3.95,880.5699999999999,False
10,A,22.0,0.0,5.0,0.0,359.03,1239.6,False
10,B,44.0,0.0,4.0,20.0,359.03,1239.6,False
10,C,31.0,0.0,9.0,0.0,359.03,1239.6,False
11,A,22.0,0.0,0.0,0.0,178.92,1418.52,False
11,B,55.0,0.0,9.0,20.0,178.92,1418.52,False
11,C,31.0,0.0,0.0,0.0,178.92,1418.52,False
12,A,14.0,0.0,8.0,0.0,278.86,1697.38,False
12,B,69.0,0.0,6.0,20.0,278.86,1697.38,False
12,C,31.0,0.0,0.0,0.0,278.86,1697.38,False
13,A,12.0,0.0,2.0,0.0,399.06,2096.44,False
13,B,57.0,0.0,12.0,0.0,399.06,2096.44,False
13,C,25.0,0.0,6.0,0.0,399.06,2096.44,False
14,A,12.0,20.0,0.0,0.0,116.12,2212.56,False
14,B,57.0,0.0,0.0,0.0,116.12,2212.56,False
14,C,19.0,0.0,6.0,0.0,116.12,2212.56,False
15,A,12.0,20.0,0.0,0.0,-3.88,2208.68,False
15,B,57.0,0.0,0.0,0.0,-3.88,2208.68,False
15,C,19.0,0.0,0.0,0.0,-3.88,2208.68,False
16,A,12.0,20.0,0.0,0.0,156.2,2364.8799999999997,False
16,B,49.0,0.0,8.0,0.0,156.2,2364.8799999999997,False
16,C,19.0,0.0,0.0,0.0,156.2,2364.8799999999997,False
17,A,32.0,20.0,0.0,20.0,36.02,2400.8999999999996,False
17,B,47.0,0.0,2.0,0.0,36.02,2400.8999999999996,False
17,C,19.0,0.0,0.0,0.0,36.02,2400.8999999999996,False
18,A,52.0,0.0,0.0,20.0,-1.18,2399.72,False
18,B,47.0,0.0,0.0,0.0,-1.18,2399.72,False
18,C,19.0,0.0,0.0,0.0,-1.18,2399.72,False
19,A,72.0,0.0,0.0,20.0,78.66,2478.3799999999997,False
19,B,47.0,0.0,0.0,0.0,78.66,2478.3799999999997,False
19,C,15.0,0.0,4.0,0.0,78.66,2478.3799999999997,False
20,A,92.0,0.0,0.0,20.0,-1.54,2476.8399999999997,False
20,B,47.0,0.0,0.0,0.0,-1.54,2476.8399999999997,False
20,C,15.0,0.0,0.0,0.0,-1.54,2476.8399999999997,False
21,A,92.0,0.0,0.0,0.0,298.61,2775.45,False
21,B,41.0,0.0,6.0,0.0,298.61,2775.45,False
21,C,6.0,0.0,9.0,0.0,298.61,2775.45,False
22,A,92.0,0.0,0.0,0.0,115.67,2891.12,False
22,B,41.0,0.0,0.0,0.0,115.67,2891.12,False
22,C,0.0,20.0,6.0,0.0,115.67,2891.12,False
23,A,92.0,0.0,0.0,0.0,-4.33,2886.79,False
23,B,41.0,0.0,0.0,0.0,-4.33,2886.79,False
23,C,0.0,20.0,0.0,0.0,-4.33,2886.79,False
24,A,83.0,0.0,9.0,0.0,175.76,3062.55,False
24,B,41.0,0.0,0.0,0.0,175.76,3062.55,False
24,C,0.0,20.0,0.0,0.0,175.76,3062.55,False
25,A,78.0,0.0,5.0,0.0,435.78,3498.33,False
25,B,29.0,0.0,12.0,0.0,435.78,3498.33,False
25,C,15.0,20.0,5.0,20.0,435.78,3498.33,False
26,A,78.0,0.0,0.0,0.0,118.64,3616.97,False
26,B,23.0,0.0,6.0,0.0,118.64,3616.97,False
26,C,35.0,0.0,0.0,20.0,118.64,3616.97,False
27,A,78.0,0.0,0.0,0.0,178.53,3795.5,False
27,B,23.0,0.0,0.0,0.0,178.53,3795.5,False
27,C,46.0,0.0,9.0,20.0,178.53,3795.5,False
28,A,78.0,0.0,0.0,0.0,338.5,4134.0,False
28,B,16.0,0.0,7.0,0.0,338.5,4134.0,False
28,C,56.0,0.0,10.0,20.0,338.5,4134.0,False
29,A,78.0,0.0,0.0,0.0,78.54,4212.54,False
29,B,16.0,0.0,0.0,0.0,78.54,4212.54,False
29,C,52.0,0.0,4.0,0.0,78.54,4212.54,False
30,A,78.0,0.0,0.0,0.0,138.61,4351.15,False
30,B,9.0,0.0,7.0,0.0,138.61,4351.15,False
30,C,52.0,0.0,0.0,0.0,138.61,4351.15,False
31,A,78.0,0.0,0.0,0.0,-4.390000000000001,4346.759999999999,False
31,B,9.0,20.0,0.0,0.0,-4.390000000000001,4346.759999999999,False
31,C,52.0,0.0,0.0,0.0,-4.390000000000001,4346.759999999999,False
32,A,78.0,0.0,0.0,0.0,-4.390000000000001,4342.369999999999,False
32,B,9.0,20.0,0.0,0.0,-4.390000000000001,4342.369999999999,False
32,C,52.0,0.0,0.0,0.0,-4.390000000000001,4342.369999999999,False
33,A,73.0,0.0,5.0,0.0,95.66,4438.029999999999,False
33,B,9.0,20.0,0.0,0.0,95.66,4438.029999999999,False
33,C,52.0,0.0,0.0,0.0,95.66,4438.029999999999,False
34,A,64.0,0.0,9.0,0.0,175.55,4613.579999999999,False
34,B,29.0,20.0,0.0,20.0,175.55,4613.579999999999,False
34,C,52.0,0.0,0.0,0.0,175.55,4613.579999999999,False
35,A,62.0,0.0,2.0,0.0,38.37,4651.949999999999,False
35,B,49.0,0.0,0.0,20.0,38.37,4651.949999999999,False
35,C,52.0,0.0,0.0,0.0,38.37,4651.949999999999,False
36,A,55.0,0.0,7.0,0.0,218.28,4870.229999999999,False
36,B,65.0,0.0,4.0,20.0,218.28,4870.229999999999,False
36,C,52.0,0.0,0.0,0.0,218.28,4870.229999999999,False
37,A,55.0,0.0,0.0,0.0,-1.92,4868.309999999999,False
37,B,85.0,0.0,0.0,20.0,-1.92,4868.309999999999,False
37,C,52.0,0.0,0.0,0.0,-1.92,4868.309999999999,False
38,A,55.0,0.0,0.0,0.0,138.15,5006.459999999998,False
38,B,78.0,0.0,7.0,0.0,138.15,5006.459999999998,False
38,C,52.0,0.0,0.0,0.0,138.15,5006.459999999998,False
