Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,30.0,0.0,0.0,0.0,-4.5,-4.5,False
1,B,30.0,0.0,0.0,0.0,-4.5,-4.5,False
1,C,30.0,0.0,0.0,0.0,-4.5,-4.5,False
2,A,34.0,0.0,11.0,15.0,-150.3,-150.3,False
2,B,45.0,0.0,0.0,15.0,-150.3,-150.3,False
2,C,45.0,0.0,0.0,15.0,-150.3,-150.3,False
3,A,34.0,0.0,0.0,0.0,-120.30000000000001,-270.6,False
3,B,45.0,0.0,0.0,0.0,-120.30000000000001,-270.6,False
3,C,35.0,0.0,10.0,0.0,-120.30000000000001,-270.6,False
4,A,25.0,0.0,9.0,0.0,49.69999999999999,-220.90000000000003,False
4,B,34.0,0.0,11.0,0.0,49.69999999999999,-220.90000000000003,False
4,C,35.0,0.0,0.0,0.0,49.69999999999999,-220.90000000000003,False
5,A,25.0,0.0,0.0,0.0,4.499999999999986,-216.40000000000003,False
5,B,34.0,0.0,0.0,0.0,4.499999999999986,-216.40000000000003,False
5,C,23.0,0.0,12.0,0.0,4.499999999999986,-216.40000000000003,False
6,A,25.0,0.0,0.0,0.0,-115.50000000000001,-331.90000000000003,False
6,B,34.0,0.0,0.0,0.0,-115.50000000000001,-331.90000000000003,False
6,C,23.0,0.0,0.0,0.0,-115.50000000000001,-331.90000000000003,False
7,A,25.0,0.0,0.0,0.0,-115.50000000000001,-447.40000000000003,False
7,B,34.0,0.0,0.0,0.0,-115.50000000000001,-447.40000000000003,False
7,C,23.0,0.0,0.0,0.0,-115.50000000000001,-447.40000000000003,False
8,A,15.0,0.0,10.0,0.0,4.499999999999986,-442.90000000000003,False
8,B,34.0,0.0,0.0,0.0,4.499999999999986,-442.90000000000003,False
8,C,23.0,0.0,0.0,0.0,4.499999999999986,-442.90000000000003,False
9,A,15.0,50.0,0.0,0.0,10.949999999999989,-431.95000000000005,False
9,B,34.0,0.0,0.0,0.0,10.949999999999989,-431.95000000000005,False
9,C,10.0,0.0,13.0,0.0,10.949999999999989,-431.95000000000005,False
10,A,15.0,50.0,0.0,0.0,-111.25,-543.2,False
10,B,30.0,0.0,4.0,0.0,-111.25,-543.2,False
10,C,10.0,50.0,0.0,0.0,-111.25,-543.2,False
11,A,15.0,50.0,0.0,0.0,-151.25,-694.45,False
11,B,30.0,0.0,0.0,0.0,-151.25,-694.45,False
11,C,10.0,50.0,0.0,0.0,-151.25,-694.45,False
12,A,65.0,50.0,0.0,50.0,-179.05,-873.5,False
12,B,16.0,0.0,14.0,0.0,-179.05,-873.5,False
12,C,10.0,50.0,0.0,0.0,-179.05,-873.5,False
13,A,115.0,0.0,0.0,50.0,-899.05,-1772.55,False
13,B,16.0,0.0,0.0,0.0,-899.05,-1772.55,False
13,C,60.0,50.0,0.0,50.0,-899.05,-1772.55,False
14,A,155.0,0.0,10.0,50.0,-1514.05,-3286.6,False
14,B,16.0,0.0,0.0,0.0,-1514.05,-3286.6,False
14,C,100.0,0.0,10.0,50.0,-1514.05,-3286.6,False
15,A,205.0,0.0,0.0,50.0,-3239.05,-6525.65,False
15,B,16.0,0.0,0.0,0.0,-3239.05,-6525.65,False
15,C,150.0,0.0,0.0,50.0,-3239.05,-6525.65,False
16,A,205.0,0.0,0.0,0.0,-3732.5,-10258.15,False
16,B,16.0,0.0,0.0,0.0,-3732.5,-10258.15,False
16,C,187.0,0.0,13.0,50.0,-3732.5,-10258.15,False
17,A,205.0,0.0,0.0,0.0,-3580.5,-13838.65,False
17,B,16.0,0.0,0.0,0.0,-3580.5,-13838.65,False
17,C,177.0,0.0,10.0,0.0,-3580.5,-13838.65,False
