Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,30.0,0.0,0.0,0.0,-4.5,-4.5,False
1,B,30.0,0.0,0.0,0.0,-4.5,-4.5,False
1,C,30.0,0.0,0.0,0.0,-4.5,-4.5,False
2,A,45.0,0.0,0.0,15.0,-218.45,-218.45,False
2,B,45.0,0.0,0.0,15.0,-218.45,-218.45,False
2,C,37.0,15.0,8.0,15.0,-218.45,-218.45,False
3,A,45.0,15.0,0.0,0.0,-297.15,-515.5999999999999,False
3,B,43.0,15.0,2.0,0.0,-297.15,-515.5999999999999,False
3,C,37.0,0.0,0.0,0.0,-297.15,-515.5999999999999,False
4,A,45.0,0.0,0.0,0.0,172.89999999999998,-342.69999999999993,False
4,B,26.0,0.0,17.0,0.0,172.89999999999998,-342.69999999999993,False
4,C,21.0,0.0,16.0,0.0,172.89999999999998,-342.69999999999993,False
5,A,45.0,0.0,0.0,0.0,71.55000000000001,-271.1499999999999,False
5,B,13.0,0.0,13.0,0.0,71.55000000000001,-271.1499999999999,False
5,C,25.0,15.0,11.0,15.0,71.55000000000001,-271.1499999999999,False
6,A,48.0,0.0,12.0,15.0,-120.65,-391.79999999999995,False
6,B,28.0,15.0,0.0,15.0,-120.65,-391.79999999999995,False
6,C,25.0,15.0,0.0,0.0,-120.65,-391.79999999999995,False
7,A,33.0,15.0,15.0,0.0,84.75,-307.04999999999995,False
7,B,21.0,0.0,7.0,0.0,84.75,-307.04999999999995,False
7,C,25.0,0.0,0.0,0.0,84.75,-307.04999999999995,False
8,A,33.0,15.0,0.0,0.0,21.799999999999997,-285.24999999999994,False
8,B,15.0,0.0,6.0,0.0,21.799999999999997,-285.24999999999994,False
8,C,30.0,0.0,10.0,15.0,21.799999999999997,-285.24999999999994,False
9,A,33.0,0.0,0.0,0.0,-74.75,-359.99999999999994,False
9,B,30.0,0.0,0.0,15.0,-74.75,-359.99999999999994,False
9,C,34.0,15.0,11.0,15.0,-74.75,-359.99999999999994,False
10,A,48.0,0.0,0.0,15.0,20.44999999999999,-339.54999999999995,False
10,B,19.0,15.0,11.0,0.0,20.44999999999999,-339.54999999999995,False
10,C,24.0,0.0,10.0,0.0,20.44999999999999,-339.54999999999995,False
11,A,53.0,0.0,10.0,15.0,-114.80000000000004,-454.35,False
11,B,19.0,15.0,0.0,0.0,-114.80000000000004,-454.35,False
11,C,24.0,0.0,0.0,0.0,-114.80000000000004,-454.35,False
12,A,42.0,15.0,11.0,0.0,3.25,-451.1,False
12,B,10.0,0.0,9.0,0.0,3.25,-451.1,False
12,C,39.0,0.0,0.0,15.0,3.25,-451.1,False
13,A,31.0,15.0,11.0,0.0,84.44999999999999,-366.65000000000003,False
13,B,25.0,0.0,0.0,15.0,84.44999999999999,-366.65000000000003,False
13,C,25.0,15.0,14.0,0.0,84.44999999999999,-366.65000000000003,False
14,A,16.0,0.0,15.0,0.0,133.45,-233.20000000000005,False
14,B,30.0,0.0,10.0,15.0,133.45,-233.20000000000005,False
14,C,25.0,15.0,0.0,0.0,133.45,-233.20000000000005,False
15,A,31.0,0.0,0.0,15.0,-151.8,-385.00000000000006,False
15,B,30.0,15.0,0.0,0.0,-151.8,-385.00000000000006,False
15,C,25.0,0.0,0.0,0.0,-151.8,-385.00000000000006,False
16,A,46.0,0.0,0.0,15.0,-230.8,-615.8000000000001,False
16,B,30.0,0.0,0.0,0.0,-230.8,-615.8000000000001,False
16,C,40.0,0.0,0.0,15.0,-230.8,-615.8000000000001,False
17,A,34.0,0.0,12.0,0.0,-28.0,-643.8000000000001,False
17,B,30.0,0.0,0.0,0.0,-28.0,-643.8000000000001,False
