Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,36.0,0,9.0,15,181.42,181.42,False
1,B,34.0,50,11.0,15,181.42,181.42,False
1,C,34.0,15,11.0,15,181.42,181.42,False
2,A,36.0,50,0.0,0,-126.81,54.609999999999985,False
2,B,27.0,50,7.0,0,-126.81,54.609999999999985,False
2,C,34.0,50,0.0,0,-126.81,54.609999999999985,False
3,A,36.0,50,0.0,0,-51.21,3.3999999999999844,False
3,B,13.0,50,14.0,0,-51.21,3.3999999999999844,False
3,C,34.0,50,0.0,0,-51.21,3.3999999999999844,False
4,A,26.0,50,10.0,0,5.590000000000003,8.989999999999988,False
4,B,63.0,50,0.0,50,5.590000000000003,8.989999999999988,False
4,C,36.0,50,13.0,15,5.590000000000003,8.989999999999988,False
5,A,76.0,50,0.0,50,-424.40999999999997,-415.41999999999996,False
5,B,113.0,50,0.0,50,-424.40999999999997,-415.41999999999996,False
5,C,86.0,50,0.0,50,-424.40999999999997,-415.41999999999996,False
6,A,112.0,50,14.0,50,-601.09,-1016.51,False
6,B,163.0,50,0.0,50,-601.09,-1016.51,False
6,C,136.0,50,0.0,50,-601.09,-1016.51,False
7,A,156.0,50,6.0,50,-774.74,-1791.25,False
7,B,203.0,50,10.0,50,-774.74,-1791.25,False
7,C,173.0,0,13.0,50,-774.74,-1791.25,False
8,A,195.0,50,11.0,50,-1357.7,-3148.95,False
8,B,246.0,0,7.0,50,-1357.7,-3148.95,False
8,C,223.0,0,0.0,50,-1357.7,-3148.95,False
9,A,234.0,50,11.0,50,-1990.9700000000003,-5139.92,False
9,B,296.0,0,0.0,50,-1990.9700000000003,-5139.92,False
9,C,265.0,0,8.0,50,-1990.9700000000003,-5139.92,False
10,A,284.0,0,0.0,50,-2599.36,-7739.280000000001,False
10,B,346.0,0,0.0,50,-2599.36,-7739.280000000001,False
10,C,258.0,0,7.0,0,-2599.36,-7739.280000000001,False
11,A,334.0,0,0.0,50,-2978.36,-10717.640000000001,False
11,B,346.0,0,0.0,0,-2978.36,-10717.640000000001,False
11,C,258.0,0,0.0,0,-2978.36,-10717.640000000001,False
12,A,371.0,0,13.0,50,-3045.5499999999997,-13763.19,False
12,B,340.0,15,6.0,0,-3045.5499999999997,-13763.19,False
12,C,258.0,0,0.0,0,-3045.5499999999997,-13763.19,False
13,A,371.0,0,0.0,0,-3164.4900000000002,-16927.68,False
13,B,338.0,0,2.0,0,-3164.4900000000002,-16927.68,False
13,C,258.0,0,0.0,0,-3164.4900000000002,-16927.68,False
14,A,371.0,0,0.0,0,-2974.2100000000005,-19901.89,False
14,B,338.0,0,0.0,0,-2974.2100000000005,-19901.89,False
14,C,244.0,0,14.0,0,-2974.2100000000005,-19901.89,False
15,A,371.0,15,0.0,0,-3055.98,-22957.87,False
15,B,339.0,0,14.0,15,-3055.98,-22957.87,False
15,C,244.0,15,0.0,0,-3055.98,-22957.87,False
16,A,359.0,0,12.0,0,-2788.41,-25746.28,False
16,B,339.0,15,0.0,0,-2788.41,-25746.28,False
16,C,233.0,0,11.0,0,-2788.41,-25746.28,False
17,A,346.0,0,13.0,0,-2796.7599999999998,-28543.039999999997,False
17,B,339.0,15,0.0,0,-2796.7599999999998,-28543.039999999997,False
17,C,233.0,0,0.0,0,-2796.7599999999998,-28543.039999999997,False
18,A,361.0,0,0.0,15,-2992.25,-31535.289999999997,False
18,B,330.0,15,9.0,0,-2992.25,-31535.289999999997,False
18,C,248.0,15,0.0,15,-2992.25,-31535.289999999997,False
19,A,350.0,15,11.0,0,-2793.9300000000003,-34329.22,False
19,B,333.0,15,12.0,15,-2793.9300000000003,-34329.22,False
19,C,248.0,0,0.0,0,-2793.9300000000003,-34329.22,False
20,A,350.0,0,0.0,0,-2925.23,-37254.450000000004,False
20,B,348.0,15,0.0,15,-2925.23,-37254.450000000004,False
20,C,237.0,0,11.0,0,-2925.23,-37254.450000000004,False
21,A,337.0,15,13.0,0,-3033.42,-40287.87,False
21,B,363.0,15,0.0,15,-3033.42,-40287.87,False
21,C,252.0,0,0.0,15,-3033.42,-40287.87,False
22,A,338.0,0,14.0,15,-3141.3199999999997,-43429.19,False
22,B,378.0,15,0.0,15,-3141.3199999999997,-43429.19,False
22,C,252.0,15,0.0,0,-3141.3199999999997,-43429.19,False
23,A,338.0,0,0.0,0,-3073.8900000000003,-46503.08,False
23,B,379.0,0,14.0,15,-3073.8900000000003,-46503.08,False
23,C,252.0,0,0.0,0,-3073.8900000000003,-46503.08,False
24,A,353.0,0,0.0,15,-3232.91,-49735.990000000005,False
24,B,394.0,15,0.0,15,-3232.91,-49735.990000000005,False
24,C,236.0,0,16.0,0,-3232.91,-49735.990000000005,False
25,A,353.0,0,0.0,0,-3163.03,-52899.020000000004,False
25,B,395.0,15,14.0,15,-3163.03,-52899.020000000004,False
25,C,237.0,15,14.0,15,-3163.03,-52899.020000000004,False
26,A,353.0,0,0.0,0,-3259.13,-56158.15,False
26,B,395.0,15,0.0,0,-3259.13,-56158.15,False
26,C,227.0,0,10.0,0,-3259.13,-56158.15,False
27,A,353.0,0,0.0,0,-3407.4300000000003,-59565.58,False
27,B,410.0,15,0.0,15,-3407.4300000000003,-59565.58,False
27,C,222.0,0,5.0,0,-3407.4300000000003,-59565.58,False
28,A,353.0,15,0.0,0,-3231.02,-62796.6,False
28,B,408.0,15,17.0,15,-3231.02,-62796.6,False
28,C,227.0,0,10.0,15,-3231.02,-62796.6,False
29,A,347.0,0,6.0,0,-3147.8,-65944.4,False
29,B,414.0,15,9.0,15,-3147.8,-65944.4,False
29,C,215.0,0,12.0,0,-3147.8,-65944.4,False
30,A,347.0,0,0.0,0,-3414.6800000000003,-69359.07999999999,False
30,B,422.0,0,7.0,15,-3414.6800000000003,-69359.07999999999,False
30,C,215.0,15,0.0,0,-3414.6800000000003,-69359.07999999999,False
31,A,351.0,0,11.0,15,-3531.45,-72890.52999999998,False
31,B,437.0,15,0.0,15,-3531.45,-72890.52999999998,False
31,C,215.0,0,0.0,0,-3531.45,-72890.52999999998,False
32,A,341.0,0,10.0,0,-3605.6,-76496.12999999999,False
32,B,452.0,15,0.0,15,-3605.6,-76496.12999999999,False
32,C,215.0,0,0.0,0,-3605.6,-76496.12999999999,False
33,A,341.0,0,0.0,0,-3518.01,-80014.13999999998,False
33,B,447.0,15,5.0,0,-3518.01,-80014.13999999998,False
33,C,219.0,0,11.0,15,-3518.01,-80014.13999999998,False
34,A,329.0,0,12.0,0,-3613.9600000000005,-83628.09999999999,False
34,B,462.0,0,0.0,15,-3613.9600000000005,-83628.09999999999,False
34,C,219.0,15,0.0,0,-3613.9600000000005,-83628.09999999999,False
35,A,329.0,0,0.0,0,-3837.31,-87465.40999999999,False
35,B,477.0,0,0.0,15,-3837.31,-87465.40999999999,False
35,C,219.0,0,0.0,0,-3837.31,-87465.40999999999,False
36,A,329.0,0,0.0,0,-3903.4600000000005,-91368.87,False
36,B,488.0,0,4.0,15,-3903.4600000000005,-91368.87,False
36,C,219.0,0,0.0,0,-3903.4600000000005,-91368.87,False
37,A,323.0,0,6.0,0,-3818.48,-95187.34999999999,False
37,B,488.0,15,0.0,0,-3818.48,-95187.34999999999,False
37,C,225.0,0,9.0,15,-3818.48,-95187.34999999999,False
38,A,323.0,0,0.0,0,-3693.8,-98881.15,False
38,B,474.0,0,14.0,0,-3693.8,-98881.15,False
38,C,225.0,15,0.0,0,-3693.8,-98881.15,False
39,A,313.0,0,10.0,0,-3279.59,-102160.73999999999,False
39,B,462.0,15,12.0,0,-3279.59,-102160.73999999999,False
39,C,214.0,0,11.0,0,-3279.59,-102160.73999999999,False
40,A,313.0,0,0.0,0,-3204.9,-105365.63999999998,False
40,B,461.0,0,16.0,15,-3204.9,-105365.63999999998,False
40,C,200.0,0,14.0,0,-3204.9,-105365.63999999998,False
41,A,313.0,15,0.0,0,-3642.15,-109007.78999999998,False
41,B,461.0,15,0.0,0,-3642.15,-109007.78999999998,False
41,C,215.0,0,0.0,15,-3642.15,-109007.78999999998,False
42,A,313.0,0,0.0,0,-3707.7000000000003,-112715.48999999998,False
42,B,476.0,0,0.0,15,-3707.7000000000003,-112715.48999999998,False
42,C,215.0,0,0.0,0,-3707.7000000000003,-112715.48999999998,False
43,A,305.0,0,8.0,0,-3578.26,-116293.74999999997,False
43,B,476.0,0,0.0,0,-3578.26,-116293.74999999997,False
43,C,215.0,0,0.0,0,-3578.26,-116293.74999999997,False
44,A,320.0,0,0.0,15,-3972.06,-120265.80999999997,False
44,B,491.0,15,0.0,15,-3972.06,-120265.80999999997,False
44,C,215.0,15,0.0,0,-3972.06,-120265.80999999997,False
45,A,320.0,0,0.0,0,-3934.56,-124200.36999999997,False
45,B,491.0,15,0.0,0,-3934.56,-124200.36999999997,False
45,C,215.0,0,0.0,0,-3934.56,-124200.36999999997,False
46,A,320.0,0,0.0,0,-3934.56,-128134.92999999996,False
46,B,491.0,15,0.0,0,-3934.56,-128134.92999999996,False
46,C,215.0,0,0.0,0,-3934.56,-128134.92999999996,False
47,A,320.0,0,0.0,0,-3833.64,-131968.56999999998,False
47,B,492.0,0,14.0,15,-3833.64,-131968.56999999998,False
47,C,230.0,0,0.0,15,-3833.64,-131968.56999999998,False
48,A,310.0,0,10.0,0,-3855.04,-135823.61,False
48,B,498.0,15,9.0,15,-3855.04,-135823.61,False
48,C,230.0,15,0.0,0,-3855.04,-135823.61,False
49,A,310.0,0,0.0,0,-3991.1,-139814.71,False
49,B,513.0,0,0.0,15,-3991.1,-139814.71,False
49,C,221.0,0,9.0,0,-3991.1,-139814.71,False
50,A,301.0,0,9.0,0,-3759.56,-143574.27,False
50,B,513.0,15,0.0,0,-3759.56,-143574.27,False
50,C,206.0,0,15.0,0,-3759.56,-143574.27,False
51,A,301.0,15,0.0,0,-4069.8099999999995,-147644.08,False
51,B,517.0,15,11.0,15,-4069.8099999999995,-147644.08,False
51,C,221.0,15,0.0,15,-4069.8099999999995,-147644.08,False
52,A,301.0,0,0.0,0,-3801.96,-151446.03999999998,False
52,B,502.0,15,15.0,0,-3801.96,-151446.03999999998,False
52,C,221.0,0,0.0,0,-3801.96,-151446.03999999998,False
53,A,301.0,0,0.0,0,-3822.1099999999997,-155268.14999999997,False
53,B,508.0,15,9.0,15,-3822.1099999999997,-155268.14999999997,False
53,C,214.0,0,7.0,0,-3822.1099999999997,-155268.14999999997,False
54,A,316.0,0,0.0,15,-3852.52,-159120.66999999995,False
54,B,510.0,15,13.0,15,-3852.52,-159120.66999999995,False
54,C,214.0,15,15.0,15,-3852.52,-159120.66999999995,False
55,A,316.0,0,0.0,0,-3835.79,-162956.45999999996,False
55,B,513.0,15,12.0,15,-3835.79,-162956.45999999996,False
55,C,202.0,0,12.0,0,-3835.79,-162956.45999999996,False
56,A,316.0,0,0.0,0,-4120.26,-167076.71999999997,False
56,B,528.0,15,0.0,15,-4120.26,-167076.71999999997,False
56,C,194.0,0,8.0,0,-4120.26,-167076.71999999997,False
57,A,316.0,15,0.0,0,-4290.14,-171366.86,False
57,B,543.0,15,0.0,15,-4290.14,-171366.86,False
57,C,197.0,0,12.0,15,-4290.14,-171366.86,False
58,A,301.0,0,15.0,0,-4063.6900000000005,-175430.55,False
58,B,547.0,0,11.0,15,-4063.6900000000005,-175430.55,False
58,C,197.0,15,0.0,0,-4063.6900000000005,-175430.55,False
59,A,301.0,0,0.0,0,-4032.49,-179463.03999999998,False
59,B,548.0,0,14.0,15,-4032.49,-179463.03999999998,False
59,C,188.0,0,9.0,0,-4032.49,-179463.03999999998,False
60,A,316.0,0,0.0,15,-4559.19,-184022.22999999998,False
60,B,563.0,15,0.0,15,-4559.19,-184022.22999999998,False
60,C,188.0,0,0.0,0,-4559.19,-184022.22999999998,False
61,A,316.0,0,0.0,0,-4617.84,-188640.06999999998,False
61,B,563.0,15,0.0,0,-4617.84,-188640.06999999998,False
61,C,203.0,0,0.0,15,-4617.84,-188640.06999999998,False
