Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,B,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,C,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
2,A,45.0,0.0,0.0,15.0,-60.75,-60.75,False
2,B,45.0,0.0,0.0,15.0,-60.75,-60.75,False
2,C,45.0,0.0,0.0,15.0,-60.75,-60.75,False
3,A,45.0,0.0,0.0,0.0,100.5,39.75,False
3,B,45.0,0.0,0.0,0.0,100.5,39.75,False
3,C,30.0,0.0,15.0,0.0,100.5,39.75,False
4,A,32.0,0.0,13.0,0.0,257.55,297.3,False
4,B,45.0,0.0,0.0,0.0,257.55,297.3,False
4,C,14.0,0.0,16.0,0.0,257.55,297.3,False
5,A,27.0,0.0,5.0,0.0,20.5,317.8,False
5,B,45.0,0.0,0.0,0.0,20.5,317.8,False
5,C,14.0,0.0,0.0,0.0,20.5,317.8,False
6,A,21.0,0.0,6.0,0.0,155.3,473.1,False
6,B,45.0,0.0,0.0,0.0,155.3,473.1,False
6,C,2.0,0.0,12.0,0.0,155.3,473.1,False
7,A,11.0,0.0,10.0,0.0,207.86,680.96,False
7,B,33.0,0.0,12.0,0.0,207.86,680.96,False
7,C,2.0,0.0,0.0,0.0,207.86,680.96,False
8,A,0.0,0.0,13.0,0.0,-56900.93,-56219.97,True
8,B,33.0,0.0,0.0,0.0,-56900.93,-56219.97,False
8,C,2.0,0.0,0.0,0.0,-56900.93,-56219.97,False
