Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,B,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,C,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
2,A,45.0,50.0,0.0,15.0,-85.74000000000001,-85.74000000000001,False
2,B,32.0,50.0,13.0,15.0,-85.74000000000001,-85.74000000000001,False
2,C,45.0,50.0,0.0,15.0,-85.74000000000001,-85.74000000000001,False
3,A,45.0,50.0,0.0,0.0,-45.3,-131.04000000000002,False
3,B,22.0,50.0,10.0,0.0,-45.3,-131.04000000000002,False
3,C,39.0,50.0,6.0,0.0,-45.3,-131.04000000000002,False
4,A,34.0,50.0,11.0,0.0,-11.64,-142.68,False
4,B,22.0,50.0,0.0,0.0,-11.64,-142.68,False
4,C,32.0,50.0,7.0,0.0,-11.64,-142.68,False
5,A,73.0,50.0,11.0,50.0,-123.41999999999999,-266.1,False
5,B,72.0,50.0,0.0,50.0,-123.41999999999999,-266.1,False
5,C,73.0,50.0,9.0,50.0,-123.41999999999999,-266.1,False
6,A,123.0,50.0,0.0,50.0,-616.42,-882.52,False
6,B,122.0,50.0,0.0,50.0,-616.42,-882.52,False
6,C,123.0,50.0,0.0,50.0,-616.42,-882.52,False
7,A,173.0,50.0,0.0,50.0,-939.0900000000001,-1821.6100000000001,False
7,B,172.0,50.0,0.0,50.0,-939.0900000000001,-1821.6100000000001,False
7,C,164.0,50.0,9.0,50.0,-939.0900000000001,-1821.6100000000001,False
8,A,223.0,50.0,0.0,50.0,-1441.25,-3262.86,False
8,B,210.0,50.0,12.0,50.0,-1441.25,-3262.86,False
8,C,214.0,50.0,0.0,50.0,-1441.25,-3262.86,False
9,A,266.0,50.0,7.0,50.0,-2175.52,-5438.38,False
9,B,260.0,50.0,0.0,50.0,-2175.52,-5438.38,False
9,C,264.0,50.0,0.0,50.0,-2175.52,-5438.38,False
10,A,308.0,50.0,8.0,50.0,-2770.6499999999996,-8209.029999999999,False
10,B,310.0,50.0,0.0,50.0,-2770.6499999999996,-8209.029999999999,False
10,C,301.0,50.0,13.0,50.0,-2770.6499999999996,-8209.029999999999,False
11,A,343.0,50.0,15.0,50.0,-3548.5,-11757.529999999999,False
11,B,350.0,50.0,10.0,50.0,-3548.5,-11757.529999999999,False
11,C,351.0,50.0,0.0,50.0,-3548.5,-11757.529999999999,False
12,A,393.0,50.0,0.0,50.0,-4577.19,-16334.719999999998,False
12,B,389.0,50.0,11.0,50.0,-4577.19,-16334.719999999998,False
12,C,393.0,50.0,8.0,50.0,-4577.19,-16334.719999999998,False
13,A,443.0,50.0,0.0,50.0,-5698.62,-22033.339999999997,False
13,B,432.0,50.0,7.0,50.0,-5698.62,-22033.339999999997,False
13,C,433.0,50.0,10.0,50.0,-5698.62,-22033.339999999997,False
14,A,489.0,50.0,4.0,50.0,-7172.34,-29205.679999999997,False
14,B,482.0,50.0,0.0,50.0,-7172.34,-29205.679999999997,False
14,C,483.0,50.0,0.0,50.0,-7172.34,-29205.679999999997,False
15,A,527.0,50.0,12.0,50.0,-8493.42,-37699.1,False
15,B,532.0,50.0,0.0,50.0,-8493.42,-37699.1,False
15,C,533.0,50.0,0.0,50.0,-8493.42,-37699.1,False
16,A,569.0,50.0,8.0,50.0,-10108.74,-47807.84,False
16,B,582.0,50.0,0.0,50.0,-10108.74,-47807.84,False
16,C,583.0,50.0,0.0,50.0,-10108.74,-47807.84,False
17,A,619.0,50.0,0.0,50.0,-11997.74,-59805.579999999994,False
17,B,632.0,50.0,0.0,50.0,-11997.74,-59805.579999999994,False
17,C,633.0,50.0,0.0,50.0,-11997.74,-59805.579999999994,False
18,A,669.0,50.0,0.0,50.0,-13462.31,-73267.89,False
18,B,673.0,50.0,9.0,50.0,-13462.31,-73267.89,False
18,C,671.0,50.0,12.0,50.0,-13462.31,-73267.89,False
19,A,719.0,50.0,0.0,50.0,-15760.31,-89028.2,False
19,B,723.0,50.0,0.0,50.0,-15760.31,-89028.2,False
19,C,721.0,50.0,0.0,50.0,-15760.31,-89028.2,False
20,A,769.0,50.0,0.0,50.0,-17998.309999999998,-107026.51,False
20,B,773.0,50.0,0.0,50.0,-17998.309999999998,-107026.51,False
20,C,771.0,50.0,0.0,50.0,-17998.309999999998,-107026.51,False
21,A,806.0,50.0,13.0,50.0,-19807.73,-126834.23999999999,False
21,B,814.0,50.0,9.0,50.0,-19807.73,-126834.23999999999,False
21,C,821.0,50.0,0.0,50.0,-19807.73,-126834.23999999999,False
22,A,856.0,50.0,0.0,50.0,-22543.73,-149377.97,False
22,B,864.0,50.0,0.0,50.0,-22543.73,-149377.97,False
22,C,871.0,50.0,0.0,50.0,-22543.73,-149377.97,False
23,A,906.0,50.0,0.0,50.0,-24899.86,-174277.83000000002,False
23,B,903.0,50.0,11.0,50.0,-24899.86,-174277.83000000002,False
23,C,921.0,50.0,0.0,50.0,-24899.86,-174277.83000000002,False
24,A,956.0,50.0,0.0,50.0,-27814.86,-202092.69,False
24,B,953.0,50.0,0.0,50.0,-27814.86,-202092.69,False
24,C,971.0,50.0,0.0,50.0,-27814.86,-202092.69,False
25,A,1006.0,50.0,0.0,50.0,-30466.660000000003,-232559.35,False
25,B,1003.0,50.0,0.0,50.0,-30466.660000000003,-232559.35,False
25,C,1011.0,50.0,10.0,50.0,-30466.660000000003,-232559.35,False
26,A,1056.0,50.0,0.0,50.0,-33319.45,-265878.8,False
26,B,1053.0,50.0,0.0,50.0,-33319.45,-265878.8,False
26,C,1050.0,50.0,11.0,50.0,-33319.45,-265878.8,False
27,A,1100.0,50.0,6.0,50.0,-36183.9,-302062.7,False
27,B,1103.0,50.0,0.0,50.0,-36183.9,-302062.7,False
27,C,1091.0,50.0,9.0,50.0,-36183.9,-302062.7,False
28,A,1150.0,50.0,0.0,50.0,-39702.9,-341765.60000000003,False
28,B,1153.0,50.0,0.0,50.0,-39702.9,-341765.60000000003,False
28,C,1141.0,50.0,0.0,50.0,-39702.9,-341765.60000000003,False
29,A,1200.0,50.0,0.0,50.0,-42951.979999999996,-384717.58,False
29,B,1203.0,50.0,0.0,50.0,-42951.979999999996,-384717.58,False
29,C,1183.0,50.0,8.0,50.0,-42951.979999999996,-384717.58,False
30,A,1250.0,50.0,0.0,50.0,-46692.979999999996,-431410.56,False
30,B,1253.0,50.0,0.0,50.0,-46692.979999999996,-431410.56,False
30,C,1233.0,50.0,0.0,50.0,-46692.979999999996,-431410.56,False
31,A,1300.0,50.0,0.0,50.0,-50112.92999999999,-481523.49,False
31,B,1303.0,50.0,0.0,50.0,-50112.92999999999,-481523.49,False
31,C,1272.0,50.0,11.0,50.0,-50112.92999999999,-481523.49,False
32,A,1339.0,50.0,11.0,50.0,-53767.14,-535290.63,False
32,B,1353.0,50.0,0.0,50.0,-53767.14,-535290.63,False
32,C,1322.0,50.0,0.0,50.0,-53767.14,-535290.63,False
33,A,1389.0,50.0,0.0,50.0,-57966.14,-593256.77,False
33,B,1403.0,50.0,0.0,50.0,-57966.14,-593256.77,False
33,C,1372.0,50.0,0.0,50.0,-57966.14,-593256.77,False
34,A,1427.0,50.0,12.0,50.0,-61546.17,-654802.9400000001,False
34,B,1448.0,50.0,5.0,50.0,-61546.17,-654802.9400000001,False
34,C,1422.0,50.0,0.0,50.0,-61546.17,-654802.9400000001,False
35,A,1477.0,50.0,0.0,50.0,-65694.77,-720497.7100000001,False
