Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,45.0,50,0.0,15,1000.9,1000.9,False
1,B,33.0,50,12.0,15,1000.9,1000.9,False
1,C,36.0,50,9.0,15,1000.9,1000.9,False
2,A,45.0,0,0.0,0,71.95,1072.85,False
2,B,22.0,0,11.0,0,71.95,1072.85,False
2,C,36.0,0,0.0,0,71.95,1072.85,False
3,A,45.0,0,0.0,0,961.95,2034.8,False
3,B,22.0,0,0.0,0,961.95,2034.8,False
3,C,36.0,0,0.0,0,961.95,2034.8,False
4,A,95.0,0,0.0,50,-216.05,1818.75,False
4,B,72.0,0,0.0,50,-216.05,1818.75,False
4,C,86.0,0,0.0,50,-216.05,1818.75,False
5,A,95.0,0,0.0,0,946.0699999999999,2764.8199999999997,False
5,B,72.0,0,0.0,0,946.0699999999999,2764.8199999999997,False
5,C,72.0,0,14.0,0,946.0699999999999,2764.8199999999997,False
6,A,80.0,0,15.0,0,151.67,2916.49,False
6,B,57.0,0,15.0,0,151.67,2916.49,False
6,C,72.0,0,0.0,0,151.67,2916.49,False
7,A,68.0,0,12.0,0,1335.02,4251.51,False
7,B,43.0,0,14.0,0,1335.02,4251.51,False
7,C,55.0,0,17.0,0,1335.02,4251.51,False
8,A,47.0,0,21.0,0,139.17000000000002,4390.68,False
8,B,43.0,0,0.0,0,139.17000000000002,4390.68,False
8,C,55.0,0,0.0,0,139.17000000000002,4390.68,False
9,A,30.0,0,17.0,0,1293.99,5684.67,False
9,B,26.0,0,17.0,0,1293.99,5684.67,False
9,C,55.0,0,0.0,0,1293.99,5684.67,False
10,A,30.0,0,0.0,0,160.39,5845.06,False
10,B,6.0,0,20.0,0,160.39,5845.06,False
10,C,55.0,0,0.0,0,160.39,5845.06,False
11,A,30.0,50,0.0,0,1066.64,6911.700000000001,False
11,B,6.0,50,0.0,0,1066.64,6911.700000000001,False
11,C,30.0,50,25.0,0,1066.64,6911.700000000001,False
12,A,10.0,0,20.0,0,315.4,7227.1,False
12,B,6.0,0,0.0,0,315.4,7227.1,False
12,C,18.0,0,12.0,0,315.4,7227.1,False
13,A,0.0,0,20.0,0,-1103.6,6123.5,True
13,B,6.0,0,0.0,0,-1103.6,6123.5,False
13,C,18.0,0,0.0,0,-1103.6,6123.5,False
14,A,23.0,0,17.0,50,394.78,6518.28,False
14,B,37.0,0,19.0,50,394.78,6518.28,False
14,C,68.0,0,0.0,50,394.78,6518.28,False
15,A,23.0,0,0.0,0,1135.23,7653.51,False
15,B,18.0,0,19.0,0,1135.23,7653.51,False
15,C,68.0,0,0.0,0,1135.23,7653.51,False
16,A,23.0,0,0.0,0,-1471.53,6181.9800000000005,False
