Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,45.0,0,0.0,15,1015.06,1015.06,False
1,B,45.0,0,0.0,15,1015.06,1015.06,False
1,C,38.0,0,7.0,15,1015.06,1015.06,False
2,A,36.0,0,9.0,0,122.0,1137.06,False
2,B,45.0,0,0.0,0,122.0,1137.06,False
2,C,27.0,15,11.0,0,122.0,1137.06,False
3,A,36.0,0,0.0,0,1070.58,2207.64,False
3,B,45.0,0,0.0,0,1070.58,2207.64,False
3,C,11.0,50,16.0,0,1070.58,2207.64,False
4,A,24.0,0,12.0,0,-233.51,1974.1299999999999,False
4,B,45.0,15,0.0,0,-233.51,1974.1299999999999,False
4,C,0.0,0,12.0,0,-233.51,1974.1299999999999,True
5,A,24.0,0,0.0,0,610.24,2584.37,False
5,B,30.0,15,15.0,0,610.24,2584.37,False
5,C,0.0,15,16.0,15,610.24,2584.37,True
6,A,24.0,0,0.0,0,229.54,2813.91,False
6,B,14.0,15,16.0,0,229.54,2813.91,False
6,C,32.0,50,16.0,50,229.54,2813.91,False
7,A,4.0,0,20.0,0,1292.91,4106.82,False
7,B,13.0,50,16.0,15,1292.91,4106.82,False
7,C,32.0,0,0.0,0,1292.91,4106.82,False
8,A,0.0,0,20.0,0,-3244.84,861.9799999999996,True
8,B,5.0,50,23.0,15,-3244.84,861.9799999999996,False
8,C,47.0,15,0.0,15,-3244.84,861.9799999999996,False
9,A,0.0,0,18.0,0,-3208.09,-2346.1100000000006,True
9,B,20.0,50,0.0,15,-3208.09,-2346.1100000000006,False
9,C,97.0,50,0.0,50,-3208.09,-2346.1100000000006,False
10,A,0.0,15,0.0,0,-225.1,-2571.2100000000005,True
10,B,52.0,0,18.0,50,-225.1,-2571.2100000000005,False
10,C,84.0,0,13.0,0,-225.1,-2571.2100000000005,False
11,A,0.0,15,15.0,0,-2687.93,-5259.14,True
11,B,102.0,0,0.0,50,-2687.93,-5259.14,False
11,C,83.0,15,16.0,15,-2687.93,-5259.14,False
12,A,0.0,15,18.0,0,-4638.98,-9898.119999999999,True
12,B,152.0,0,0.0,50,-4638.98,-9898.119999999999,False
12,C,112.0,50,21.0,50,-4638.98,-9898.119999999999,False
13,A,1.0,15,14.0,15,127.29999999999995,-9770.82,True
13,B,135.0,15,17.0,0,127.29999999999995,-9770.82,False
13,C,112.0,0,0.0,0,127.29999999999995,-9770.82,False
14,A,0.0,15,0.0,15,-658.35,-10429.17,True
14,B,116.0,15,19.0,0,-658.35,-10429.17,False
14,C,127.0,15,0.0,15,-658.35,-10429.17,False
15,A,15.0,15,0.0,15,109.81999999999994,-10319.35,True
15,B,92.0,15,24.0,0,109.81999999999994,-10319.35,False
15,C,177.0,50,0.0,50,109.81999999999994,-10319.35,False
16,A,9.0,15,21.0,15,-911.09,-11230.44,True
16,B,107.0,50,0.0,15,-911.09,-11230.44,False
16,C,177.0,0,0.0,0,-911.09,-11230.44,False
17,A,6.0,15,0.0,15,337.51,-10892.93,True
17,B,122.0,50,0.0,15,337.51,-10892.93,False
17,C,177.0,15,15.0,15,337.51,-10892.93,False
18,A,6.0,15,0.0,15,-900.8399999999999,-11793.77,True
18,B,137.0,50,0.0,15,-900.8399999999999,-11793.77,False
18,C,227.0,50,0.0,50,-900.8399999999999,-11793.77,False
19,A,3.0,50,0.0,15,544.0600000000001,-11249.710000000001,False
19,B,166.0,0,21.0,50,544.0600000000001,-11249.710000000001,False
19,C,227.0,0,0.0,0,544.0600000000001,-11249.710000000001,False
20,A,18.0,50,0.0,15,-163.47000000000003,-11413.18,False
20,B,202.0,0,14.0,50,-163.47000000000003,-11413.18,False
20,C,187.0,15,55.0,15,-163.47000000000003,-11413.18,False
