Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,45.0,100,0.0,15,1027.0,1027.0,False
1,B,34.0,15,11.0,15,1027.0,1027.0,False
1,C,37.0,0,8.0,15,1027.0,1027.0,False
2,A,45.0,100,0.0,0,-94.69999999999999,932.3,False
2,B,24.0,15,10.0,0,-94.69999999999999,932.3,False
2,C,37.0,15,0.0,0,-94.69999999999999,932.3,False
3,A,45.0,0,0.0,0,997.49,1929.79,False
3,B,24.0,15,0.0,0,997.49,1929.79,False
3,C,30.0,0,7.0,0,997.49,1929.79,False
4,A,135.0,15,10.0,100,-101.59,1828.2,False
4,B,28.0,15,11.0,15,-101.59,1828.2,False
4,C,30.0,15,0.0,0,-101.59,1828.2,False
5,A,235.0,15,0.0,100,296.51,2124.71,False
5,B,43.0,15,0.0,15,296.51,2124.71,False
5,C,45.0,15,0.0,15,296.51,2124.71,False
6,A,235.0,15,0.0,0,-564.36,1560.35,False
6,B,44.0,15,14.0,15,-564.36,1560.35,False
6,C,45.0,15,0.0,0,-564.36,1560.35,False
7,A,250.0,15,0.0,15,577.2,2137.55,False
7,B,41.0,15,18.0,15,577.2,2137.55,False
7,C,43.0,15,17.0,15,577.2,2137.55,False
8,A,265.0,15,0.0,15,-463.71000000000004,1673.8400000000001,False
8,B,40.0,15,16.0,15,-463.71000000000004,1673.8400000000001,False
8,C,36.0,15,22.0,15,-463.71000000000004,1673.8400000000001,False
9,A,265.0,15,15.0,15,475.54999999999995,2149.3900000000003,False
9,B,37.0,15,18.0,15,475.54999999999995,2149.3900000000003,False
9,C,51.0,15,0.0,15,475.54999999999995,2149.3900000000003,False
10,A,280.0,15,0.0,15,-766.5799999999999,1382.8100000000004,False
10,B,52.0,15,0.0,15,-766.5799999999999,1382.8100000000004,False
10,C,48.0,15,18.0,15,-766.5799999999999,1382.8100000000004,False
11,A,295.0,15,0.0,15,-67.32999999999993,1315.4800000000005,False
11,B,67.0,15,0.0,15,-67.32999999999993,1315.4800000000005,False
11,C,63.0,15,0.0,15,-67.32999999999993,1315.4800000000005,False
12,A,310.0,15,0.0,15,-1201.58,113.90000000000055,False
12,B,82.0,15,0.0,15,-1201.58,113.90000000000055,False
12,C,78.0,15,0.0,15,-1201.58,113.90000000000055,False
13,A,325.0,15,0.0,15,210.42999999999984,324.3300000000004,False
13,B,71.0,15,26.0,15,210.42999999999984,324.3300000000004,False
13,C,71.0,15,22.0,15,210.42999999999984,324.3300000000004,False
14,A,321.0,15,19.0,15,-354.21000000000004,-29.879999999999654,False
14,B,22.0,15,64.0,15,-354.21000000000004,-29.879999999999654,False
14,C,86.0,0,0.0,15,-354.21000000000004,-29.879999999999654,False
15,A,336.0,15,0.0,15,-319.6600000000001,-349.53999999999974,False
15,B,37.0,15,0.0,15,-319.6600000000001,-349.53999999999974,False
15,C,101.0,0,0.0,15,-319.6600000000001,-349.53999999999974,False
16,A,331.0,15,20.0,15,-1169.71,-1519.2499999999998,False
16,B,52.0,15,0.0,15,-1169.71,-1519.2499999999998,False
16,C,116.0,15,0.0,15,-1169.71,-1519.2499999999998,False
17,A,346.0,0,0.0,15,-224.47000000000003,-1743.7199999999998,False
17,B,45.0,50,22.0,15,-224.47000000000003,-1743.7199999999998,False
17,C,116.0,15,0.0,0,-224.47000000000003,-1743.7199999999998,False
18,A,361.0,15,0.0,15,-1586.27,-3329.99,False
18,B,60.0,15,0.0,15,-1586.27,-3329.99,False
18,C,116.0,15,0.0,0,-1586.27,-3329.99,False
19,A,357.0,0,19.0,15,-161.3499999999999,-3491.3399999999997,False
19,B,55.0,15,20.0,15,-161.3499999999999,-3491.3399999999997,False
19,C,131.0,15,0.0,15,-161.3499999999999,-3491.3399999999997,False
