Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,45.0,0,0.0,15,864.25,864.25,False
1,B,45.0,15,0.0,15,864.25,864.25,False
1,C,45.0,15,0.0,15,864.25,864.25,False
2,A,45.0,50,0.0,0,99.78,964.03,False
2,B,29.0,15,16.0,0,99.78,964.03,False
2,C,34.0,15,11.0,0,99.78,964.03,False
3,A,35.0,0,10.0,0,1012.78,1976.81,False
3,B,29.0,50,0.0,0,1012.78,1976.81,False
3,C,34.0,0,0.0,0,1012.78,1976.81,False
4,A,35.0,15,0.0,0,-130.62,1846.19,False
4,B,44.0,0,0.0,15,-130.62,1846.19,False
4,C,49.0,15,0.0,15,-130.62,1846.19,False
5,A,85.0,15,0.0,50,932.94,2779.13,False
5,B,59.0,0,0.0,15,932.94,2779.13,False
5,C,50.0,15,14.0,15,932.94,2779.13,False
6,A,85.0,0,0.0,0,-253.56,2525.57,False
6,B,109.0,0,0.0,50,-253.56,2525.57,False
6,C,50.0,15,0.0,0,-253.56,2525.57,False
7,A,78.0,0,22.0,15,1046.19,3571.76,False
7,B,109.0,15,0.0,0,1046.19,3571.76,False
7,C,54.0,15,11.0,15,1046.19,3571.76,False
8,A,93.0,15,0.0,15,-135.58999999999997,3436.17,False
8,B,93.0,0,16.0,0,-135.58999999999997,3436.17,False
8,C,69.0,15,0.0,15,-135.58999999999997,3436.17,False
9,A,70.0,0,23.0,0,1242.26,4678.43,False
9,B,93.0,0,0.0,0,1242.26,4678.43,False
9,C,65.0,0,19.0,15,1242.26,4678.43,False
10,A,50.0,0,20.0,0,148.86,4827.29,False
10,B,92.0,0,16.0,15,148.86,4827.29,False
10,C,80.0,15,0.0,15,148.86,4827.29,False
11,A,65.0,15,0.0,15,956.3199999999999,5783.61,False
11,B,92.0,0,0.0,0,956.3199999999999,5783.61,False
11,C,77.0,0,18.0,15,956.3199999999999,5783.61,False
12,A,65.0,0,0.0,0,-261.18,5522.429999999999,False
12,B,92.0,15,0.0,0,-261.18,5522.429999999999,False
12,C,77.0,15,0.0,0,-261.18,5522.429999999999,False
13,A,65.0,15,0.0,0,900.35,6422.78,False
13,B,76.0,15,16.0,0,900.35,6422.78,False
13,C,92.0,0,0.0,15,900.35,6422.78,False
14,A,64.0,0,16.0,15,-23.360000000000014,6399.42,False
14,B,76.0,0,0.0,0,-23.360000000000014,6399.42,False
14,C,92.0,0,0.0,0,-23.360000000000014,6399.42,False
15,A,64.0,15,0.0,0,930.55,7329.97,False
15,B,70.0,0,21.0,15,930.55,7329.97,False
15,C,107.0,15,0.0,15,930.55,7329.97,False
16,A,79.0,0,0.0,15,-138.16,7191.81,False
16,B,85.0,50,0.0,15,-138.16,7191.81,False
16,C,90.0,15,17.0,0,-138.16,7191.81,False
17,A,79.0,15,0.0,0,881.0,8072.81,False
17,B,85.0,15,0.0,0,881.0,8072.81,False
17,C,72.0,15,18.0,0,881.0,8072.81,False
18,A,94.0,15,0.0,15,-311.3,7761.51,False
18,B,85.0,0,0.0,0,-311.3,7761.51,False
18,C,87.0,15,0.0,15,-311.3,7761.51,False
19,A,94.0,0,0.0,0,850.5,8612.01,False
19,B,135.0,0,0.0,50,850.5,8612.01,False
19,C,83.0,0,19.0,15,850.5,8612.01,False
20,A,92.0,0,17.0,15,108.37,8720.380000000001,False
20,B,135.0,0,15.0,15,108.37,8720.380000000001,False
20,C,82.0,15,16.0,15,108.37,8720.380000000001,False
21,A,91.0,0,16.0,15,1024.1,9744.480000000001,False
21,B,135.0,0,0.0,0,1024.1,9744.480000000001,False
21,C,78.0,0,19.0,15,1024.1,9744.480000000001,False
22,A,70.0,0,21.0,0,-82.09000000000003,9662.390000000001,False
22,B,135.0,0,0.0,0,-82.09000000000003,9662.390000000001,False
22,C,78.0,0,0.0,0,-82.09000000000003,9662.390000000001,False
23,A,70.0,15,0.0,0,644.76,10307.150000000001,False
23,B,135.0,0,0.0,0,644.76,10307.150000000001,False
23,C,93.0,0,0.0,15,644.76,10307.150000000001,False
24,A,70.0,0,0.0,0,-165.25,10141.900000000001,False
24,B,135.0,0,0.0,0,-165.25,10141.900000000001,False
24,C,80.0,0,13.0,0,-165.25,10141.900000000001,False
25,A,70.0,0,0.0,0,885.41,11027.310000000001,False
25,B,125.0,0,10.0,0,885.41,11027.310000000001,False
25,C,72.0,15,8.0,0,885.41,11027.310000000001,False
26,A,85.0,0,0.0,15,-81.52000000000001,10945.79,False
26,B,116.0,0,9.0,0,-81.52000000000001,10945.79,False
26,C,61.0,15,11.0,0,-81.52000000000001,10945.79,False
27,A,73.0,0,12.0,0,894.94,11840.730000000001,False
27,B,116.0,0,0.0,0,894.94,11840.730000000001,False
27,C,61.0,0,0.0,0,894.94,11840.730000000001,False
28,A,73.0,15,0.0,0,-214.35,11626.380000000001,False
28,B,116.0,0,0.0,0,-214.35,11626.380000000001,False
28,C,70.0,0,6.0,15,-214.35,11626.380000000001,False
29,A,60.0,0,13.0,0,1033.59,12659.970000000001,False
29,B,104.0,0,12.0,0,1033.59,12659.970000000001,False
29,C,85.0,0,0.0,15,1033.59,12659.970000000001,False
30,A,55.0,15,5.0,0,-223.59,12436.380000000001,False
30,B,103.0,0,1.0,0,-223.59,12436.380000000001,False
30,C,85.0,15,0.0,0,-223.59,12436.380000000001,False
31,A,64.0,0,6.0,15,803.2,13239.580000000002,False
31,B,103.0,15,0.0,0,803.2,13239.580000000002,False
31,C,85.0,0,0.0,0,803.2,13239.580000000002,False
32,A,59.0,15,5.0,0,-200.65,13038.930000000002,False
32,B,103.0,0,0.0,0,-200.65,13038.930000000002,False
32,C,85.0,0,0.0,0,-200.65,13038.930000000002,False
33,A,74.0,0,0.0,15,739.15,13778.080000000002,False
33,B,103.0,0,0.0,0,739.15,13778.080000000002,False
33,C,100.0,0,0.0,15,739.15,13778.080000000002,False
34,A,65.0,0,9.0,0,-228.99,13549.090000000002,False
34,B,118.0,0,0.0,15,-228.99,13549.090000000002,False
34,C,100.0,15,0.0,0,-228.99,13549.090000000002,False
35,A,80.0,0,0.0,15,828.63,14377.720000000001,False
35,B,116.0,0,2.0,0,828.63,14377.720000000001,False
35,C,91.0,0,9.0,0,828.63,14377.720000000001,False
36,A,80.0,0,0.0,0,-207.81,14169.910000000002,False
36,B,110.0,0,6.0,0,-207.81,14169.910000000002,False
36,C,91.0,0,0.0,0,-207.81,14169.910000000002,False
37,A,80.0,0,0.0,0,690.51,14860.420000000002,False
37,B,110.0,0,0.0,0,690.51,14860.420000000002,False
37,C,107.0,0,-1.0,15,690.51,14860.420000000002,False
38,A,80.0,0,0.0,0,-299.49,14560.930000000002,False
38,B,110.0,0,0.0,0,-299.49,14560.930000000002,False
38,C,107.0,0,0.0,0,-299.49,14560.930000000002,False
39,A,80.0,0,0.0,0,700.51,15261.440000000002,False
