Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,45.0,50,0.0,15,892.94,892.94,False
1,B,34.0,50,11.0,15,892.94,892.94,False
1,C,45.0,50,0.0,15,892.94,892.94,False
2,A,31.0,0,14.0,0,98.58,991.5200000000001,False
2,B,34.0,0,0.0,0,98.58,991.5200000000001,False
2,C,45.0,0,0.0,0,98.58,991.5200000000001,False
3,A,20.0,0,11.0,0,1319.6,2311.12,False
3,B,22.0,0,12.0,0,1319.6,2311.12,False
3,C,34.0,0,11.0,0,1319.6,2311.12,False
4,A,70.0,0,0.0,50,-21.25,2289.87,False
4,B,72.0,0,0.0,50,-21.25,2289.87,False
4,C,71.0,0,13.0,50,-21.25,2289.87,False
5,A,57.0,0,13.0,0,1131.1,3420.97,False
5,B,60.0,0,12.0,0,1131.1,3420.97,False
5,C,71.0,0,0.0,0,1131.1,3420.97,False
6,A,57.0,0,0.0,0,-29.939999999999998,3391.0299999999997,False
6,B,52.0,0,8.0,0,-29.939999999999998,3391.0299999999997,False
6,C,71.0,0,0.0,0,-29.939999999999998,3391.0299999999997,False
7,A,57.0,50,0.0,0,931.21,4322.24,False
7,B,33.0,50,19.0,0,931.21,4322.24,False
7,C,71.0,50,0.0,0,931.21,4322.24,False
8,A,57.0,0,0.0,0,41.81,4364.05,False
8,B,33.0,0,0.0,0,41.81,4364.05,False
8,C,59.0,0,12.0,0,41.81,4364.05,False
9,A,57.0,0,0.0,0,1235.02,5599.07,False
9,B,20.0,0,13.0,0,1235.02,5599.07,False
9,C,43.0,0,16.0,0,1235.02,5599.07,False
10,A,107.0,0,0.0,50,-25.980000000000018,5573.09,False
10,B,50.0,0,20.0,50,-25.980000000000018,5573.09,False
10,C,93.0,0,0.0,50,-25.980000000000018,5573.09,False
11,A,87.0,0,20.0,0,1012.8199999999999,6585.91,False
11,B,50.0,0,0.0,0,1012.8199999999999,6585.91,False
11,C,93.0,0,0.0,0,1012.8199999999999,6585.91,False
12,A,64.0,0,23.0,0,77.55000000000001,6663.46,False
12,B,50.0,0,0.0,0,77.55000000000001,6663.46,False
12,C,93.0,0,0.0,0,77.55000000000001,6663.46,False
13,A,45.0,50,19.0,0,893.26,7556.72,False
13,B,50.0,50,0.0,0,893.26,7556.72,False
13,C,93.0,50,0.0,0,893.26,7556.72,False
14,A,26.0,0,19.0,0,71.75,7628.47,False
14,B,50.0,0,0.0,0,71.75,7628.47,False
14,C,93.0,0,0.0,0,71.75,7628.47,False
15,A,26.0,0,0.0,0,1091.99,8720.460000000001,False
15,B,50.0,0,0.0,0,1091.99,8720.460000000001,False
15,C,75.0,0,18.0,0,1091.99,8720.460000000001,False
16,A,76.0,0,0.0,50,-92.25,8628.210000000001,False
16,B,100.0,0,0.0,50,-92.25,8628.210000000001,False
16,C,107.0,0,18.0,50,-92.25,8628.210000000001,False
17,A,55.0,0,21.0,0,965.26,9593.470000000001,False
17,B,100.0,0,0.0,0,965.26,9593.470000000001,False
17,C,107.0,0,0.0,0,965.26,9593.470000000001,False
18,A,55.0,0,0.0,0,-244.74,9348.730000000001,False
18,B,100.0,0,0.0,0,-244.74,9348.730000000001,False
18,C,107.0,0,0.0,0,-244.74,9348.730000000001,False
19,A,55.0,50,0.0,0,779.7,10128.430000000002,False
19,B,84.0,50,16.0,0,779.7,10128.430000000002,False
19,C,107.0,50,0.0,0,779.7,10128.430000000002,False
20,A,39.0,0,16.0,0,186.79,10315.220000000003,False
20,B,84.0,0,0.0,0,186.79,10315.220000000003,False
20,C,88.0,0,19.0,0,186.79,10315.220000000003,False
21,A,39.0,0,0.0,0,836.79,11152.010000000002,False
21,B,84.0,0,0.0,0,836.79,11152.010000000002,False
21,C,88.0,0,0.0,0,836.79,11152.010000000002,False
22,A,74.0,0,15.0,50,114.83000000000004,11266.840000000002,False
22,B,120.0,0,14.0,50,114.83000000000004,11266.840000000002,False
22,C,121.0,0,17.0,50,114.83000000000004,11266.840000000002,False
23,A,60.0,0,14.0,0,813.59,12080.430000000002,False
23,B,120.0,0,0.0,0,813.59,12080.430000000002,False
23,C,121.0,0,0.0,0,813.59,12080.430000000002,False
24,A,60.0,0,0.0,0,-154.76999999999998,11925.660000000002,False
24,B,106.0,0,14.0,0,-154.76999999999998,11925.660000000002,False
24,C,121.0,0,0.0,0,-154.76999999999998,11925.660000000002,False
25,A,60.0,50,0.0,0,540.23,12465.890000000001,False
25,B,106.0,50,0.0,0,540.23,12465.890000000001,False
25,C,121.0,50,0.0,0,540.23,12465.890000000001,False
26,A,60.0,0,0.0,0,-294.77,12171.12,False
26,B,106.0,0,0.0,0,-294.77,12171.12,False
26,C,121.0,0,0.0,0,-294.77,12171.12,False
27,A,46.0,0,14.0,0,995.48,13166.6,False
27,B,106.0,0,0.0,0,995.48,13166.6,False
27,C,110.0,0,11.0,0,995.48,13166.6,False
28,A,96.0,0,0.0,50,-330.26,12836.34,False
28,B,147.0,0,9.0,50,-330.26,12836.34,False
28,C,149.0,0,11.0,50,-330.26,12836.34,False
29,A,82.0,0,14.0,0,815.14,13651.48,False
29,B,141.0,0,6.0,0,815.14,13651.48,False
