Time,Node,Stock,Action,Demand,Delivery,Reward
1,A,30.0,0.0,0.0,0.0,0.0
1,B,28.0,0.0,0.0,0.0,0.0
1,C,32.0,0.0,0.0,0.0,0.0
2,A,14.0,50.0,16.0,0.0,380.0
2,B,24.0,50.0,4.0,0.0,380.0
2,C,32.0,50.0,0.0,0.0,380.0
3,A,4.0,50.0,10.0,0.0,421.1
3,B,24.0,50.0,0.0,0.0,421.1
3,C,20.0,50.0,12.0,0.0,421.1
4,A,4.0,50.0,9.0,0.0,-878.55
4,B,24.0,50.0,0.0,0.0,-878.55
4,C,13.0,50.0,7.0,0.0,-878.55
5,A,45.0,50.0,0.0,50.0,395.0
5,B,74.0,50.0,0.0,50.0,395.0
5,C,51.0,50.0,12.0,50.0,395.0
6,A,84.0,50.0,11.0,50.0,193.9
6,B,124.0,0.0,0.0,50.0,193.9
6,C,101.0,15.0,0.0,50.0,193.9
7,A,134.0,0.0,0.0,50.0,317.9
7,B,168.0,0.0,6.0,50.0,317.9
7,C,140.0,0.0,11.0,50.0,317.9
8,A,174.0,0.0,10.0,50.0,351.35
8,B,218.0,0.0,0.0,50.0,351.35
8,C,181.0,0.0,9.0,50.0,351.35
9,A,216.0,0.0,8.0,50.0,128.5
9,B,218.0,0.0,0.0,0.0,128.5
9,C,196.0,0.0,0.0,15.0,128.5
10,A,208.0,0.0,8.0,0.0,329.4
10,B,218.0,0.0,0.0,0.0,329.4
10,C,186.0,0.0,10.0,0.0,329.4
11,A,197.0,0.0,11.0,0.0,410.5
11,B,214.0,0.0,4.0,0.0,410.5
11,C,179.0,0.0,7.0,0.0,410.5
12,A,187.0,0.0,10.0,0.0,271.25
12,B,209.0,0.0,5.0,0.0,271.25
12,C,179.0,0.0,0.0,0.0,271.25
13,A,180.0,0.0,7.0,0.0,372.25
13,B,202.0,0.0,7.0,0.0,372.25
13,C,173.0,0.0,6.0,0.0,372.25
14,A,174.0,0.0,6.0,0.0,293.05
14,B,202.0,0.0,0.0,0.0,293.05
14,C,163.0,0.0,10.0,0.0,293.05
15,A,169.0,0.0,5.0,0.0,113.39999999999999
15,B,202.0,0.0,0.0,0.0,113.39999999999999
15,C,161.0,0.0,2.0,0.0,113.39999999999999
16,A,169.0,0.0,0.0,0.0,234.05
16,B,197.0,0.0,5.0,0.0,234.05
16,C,153.0,0.0,8.0,0.0,234.05
17,A,169.0,0.0,0.0,0.0,234.7
17,B,197.0,0.0,0.0,0.0,234.7
17,C,140.0,0.0,13.0,0.0,234.7
18,A,159.0,0.0,10.0,0.0,175.2
18,B,197.0,0.0,0.0,0.0,175.2
18,C,140.0,0.0,0.0,0.0,175.2
19,A,154.0,0.0,5.0,0.0,235.85
19,B,197.0,0.0,0.0,0.0,235.85
19,C,132.0,0.0,8.0,0.0,235.85
20,A,154.0,0.0,0.0,0.0,196.4
20,B,195.0,0.0,2.0,0.0,196.4
20,C,123.0,0.0,9.0,0.0,196.4
21,A,147.0,0.0,7.0,0.0,257.1
21,B,195.0,0.0,0.0,0.0,257.1
21,C,116.0,0.0,7.0,0.0,257.1
22,A,139.0,0.0,8.0,0.0,779.1
22,B,176.0,0.0,19.0,0.0,779.1
22,C,103.0,0.0,13.0,0.0,779.1
23,A,139.0,0.0,0.0,0.0,99.4
23,B,176.0,0.0,0.0,0.0,99.4
23,C,97.0,0.0,6.0,0.0,99.4
24,A,139.0,0.0,0.0,0.0,39.55
24,B,173.0,0.0,3.0,0.0,39.55
24,C,97.0,0.0,0.0,0.0,39.55
25,A,135.0,0.0,4.0,0.0,59.75
25,B,173.0,0.0,0.0,0.0,59.75
25,C,97.0,0.0,0.0,0.0,59.75
26,A,126.0,0.0,9.0,0.0,300.55
26,B,166.0,0.0,7.0,0.0,300.55
26,C,97.0,0.0,0.0,0.0,300.55
27,A,126.0,0.0,0.0,0.0,-19.450000000000003
27,B,166.0,0.0,0.0,0.0,-19.450000000000003
27,C,97.0,0.0,0.0,0.0,-19.450000000000003
28,A,126.0,0.0,0.0,0.0,381.55
28,B,155.0,0.0,11.0,0.0,381.55
28,C,88.0,0.0,9.0,0.0,381.55
29,A,126.0,0.0,0.0,0.0,-18.450000000000003
29,B,155.0,0.0,0.0,0.0,-18.450000000000003
29,C,88.0,0.0,0.0,0.0,-18.450000000000003
30,A,126.0,0.0,0.0,0.0,101.85
30,B,149.0,0.0,6.0,0.0,101.85
30,C,88.0,0.0,0.0,0.0,101.85
31,A,126.0,0.0,0.0,0.0,322.7
31,B,138.0,0.0,11.0,0.0,322.7
31,C,82.0,0.0,6.0,0.0,322.7
32,A,126.0,0.0,0.0,0.0,263.4
32,B,129.0,0.0,9.0,0.0,263.4
32,C,77.0,0.0,5.0,0.0,263.4
33,A,120.0,0.0,6.0,0.0,604.95
33,B,118.0,0.0,11.0,0.0,604.95
33,C,63.0,0.0,14.0,0.0,604.95
34,A,120.0,0.0,0.0,0.0,466.15
34,B,105.0,0.0,13.0,0.0,466.15
34,C,52.0,0.0,11.0,0.0,466.15
35,A,116.0,0.0,4.0,0.0,186.65
35,B,105.0,0.0,0.0,0.0,186.65
