Time,Node,Stock,Action,Demand,Delivery,Reward,Backlog
1,A,30.0,0.0,0.0,0.0,45.0,False
1,B,28.0,0.0,0.0,0.0,45.0,False
1,C,32.0,0.0,0.0,0.0,45.0,False
2,A,30.0,15.0,0.0,0.0,106.0,False
2,B,28.0,0.0,0.0,0.0,106.0,False
2,C,24.0,15.0,8.0,0.0,106.0,False
3,A,30.0,15.0,0.0,0.0,233.0,False
3,B,28.0,0.0,0.0,0.0,233.0,False
3,C,10.0,15.0,14.0,0.0,233.0,False
4,A,27.0,15.0,3.0,0.0,14.5,False
4,B,28.0,0.0,0.0,0.0,14.5,False
4,C,10.0,15.0,0.0,0.0,14.5,False
5,A,42.0,15.0,0.0,15.0,226.5,False
5,B,28.0,0.0,0.0,0.0,226.5,False
5,C,11.0,15.0,14.0,15.0,226.5,False
6,A,39.0,15.0,18.0,15.0,505.5,False
6,B,28.0,0.0,0.0,0.0,505.5,False
6,C,16.0,15.0,10.0,15.0,505.5,False
7,A,54.0,15.0,0.0,15.0,53.5,False
7,B,22.0,0.0,6.0,0.0,53.5,False
7,C,31.0,15.0,0.0,15.0,53.5,False
8,A,60.0,15.0,9.0,15.0,431.0,False
8,B,10.0,0.0,12.0,0.0,431.0,False
8,C,42.0,15.0,4.0,15.0,431.0,False
9,A,75.0,15.0,0.0,15.0,-84.0,False
9,B,10.0,0.0,0.0,0.0,-84.0,False
9,C,57.0,15.0,0.0,15.0,-84.0,False
10,A,75.0,15.0,15.0,15.0,393.0,False
10,B,10.0,0.0,0.0,0.0,393.0,False
10,C,63.0,15.0,9.0,15.0,393.0,False
11,A,77.0,15.0,13.0,15.0,308.0,False
11,B,3.0,0.0,7.0,0.0,308.0,False
11,C,78.0,15.0,0.0,15.0,308.0,False
12,A,92.0,15.0,0.0,15.0,139.0,False
12,B,3.0,0.0,0.0,0.0,139.0,False
12,C,81.0,15.0,12.0,15.0,139.0,False
13,A,107.0,15.0,0.0,15.0,-10054.5,False
13,B,0.0,0.0,13.0,0.0,-10054.5,True
13,C,96.0,15.0,0.0,15.0,-10054.5,False
14,A,122.0,15.0,0.0,15.0,-7945.0,False
14,B,0.0,0.0,8.0,0.0,-7945.0,True
14,C,102.0,15.0,9.0,15.0,-7945.0,False
15,A,137.0,15.0,0.0,15.0,-140.0,False
15,B,0.0,0.0,0.0,0.0,-140.0,True
15,C,117.0,15.0,0.0,15.0,-140.0,False
16,A,152.0,15.0,0.0,15.0,-8155.0,False
16,B,0.0,0.0,8.0,0.0,-8155.0,True
16,C,132.0,15.0,0.0,15.0,-8155.0,False
17,A,167.0,15.0,0.0,15.0,-108.5,False
17,B,0.0,0.0,0.0,0.0,-108.5,True
17,C,144.0,15.0,3.0,15.0,-108.5,False
18,A,182.0,15.0,0.0,15.0,-183.5,False
18,B,0.0,0.0,0.0,0.0,-183.5,True
18,C,159.0,15.0,0.0,15.0,-183.5,False
19,A,197.0,15.0,0.0,15.0,-198.5,False
19,B,0.0,0.0,0.0,0.0,-198.5,True
19,C,174.0,15.0,0.0,15.0,-198.5,False
20,A,201.0,15.0,11.0,15.0,-7988.0,False
20,B,0.0,0.0,8.0,0.0,-7988.0,True
20,C,189.0,15.0,0.0,15.0,-7988.0,False
21,A,216.0,15.0,0.0,15.0,-14223.0,False
21,B,0.0,0.0,14.0,0.0,-14223.0,True
21,C,204.0,15.0,0.0,15.0,-14223.0,False
22,A,231.0,15.0,0.0,15.0,49.0,False
22,B,0.0,0.0,0.0,0.0,49.0,True
22,C,205.0,15.0,14.0,15.0,49.0,False
23,A,246.0,15.0,0.0,15.0,-8246.0,False
23,B,0.0,0.0,8.0,0.0,-8246.0,True
23,C,220.0,15.0,0.0,15.0,-8246.0,False
24,A,261.0,15.0,0.0,15.0,-3261.0,False
24,B,0.0,0.0,3.0,0.0,-3261.0,True
24,C,235.0,15.0,0.0,15.0,-3261.0,False
25,A,265.0,15.0,11.0,15.0,-50.5,False
25,B,0.0,0.0,0.0,0.0,-50.5,True
25,C,250.0,15.0,0.0,15.0,-50.5,False
26,A,280.0,15.0,0.0,15.0,-39.5,False
26,B,0.0,0.0,0.0,0.0,-39.5,True
26,C,253.0,15.0,12.0,15.0,-39.5,False
27,A,295.0,15.0,0.0,15.0,-233.0,False
27,B,0.0,0.0,0.0,0.0,-233.0,True
27,C,265.0,15.0,3.0,15.0,-233.0,False
28,A,297.0,15.0,13.0,15.0,-41.5,False
28,B,0.0,0.0,0.0,0.0,-41.5,True
28,C,280.0,15.0,0.0,15.0,-41.5,False
29,A,303.0,15.0,9.0,15.0,-3132.0,False
29,B,0.0,0.0,3.0,0.0,-3132.0,True
29,C,295.0,15.0,0.0,15.0,-3132.0,False
30,A,308.0,15.0,10.0,15.0,-14122.0,False
30,B,0.0,0.0,14.0,0.0,-14122.0,True
30,C,310.0,15.0,0.0,15.0,-14122.0,False
31,A,323.0,15.0,0.0,15.0,-9337.0,False
31,B,0.0,0.0,9.0,0.0,-9337.0,True
31,C,325.0,15.0,0.0,15.0,-9337.0,False
32,A,328.0,15.0,10.0,15.0,-5003.5,False
32,B,0.0,0.0,5.0,0.0,-5003.5,True
32,C,333.0,15.0,7.0,15.0,-5003.5,False
33,A,343.0,15.0,0.0,15.0,-358.5,False
33,B,0.0,0.0,0.0,0.0,-358.5,True
33,C,348.0,15.0,0.0,15.0,-358.5,False
34,A,358.0,15.0,0.0,15.0,-127.5,False
34,B,0.0,0.0,0.0,0.0,-127.5,True
34,C,351.0,15.0,12.0,15.0,-127.5,False
35,A,370.0,15.0,3.0,15.0,-6321.0,False
35,B,0.0,0.0,6.0,0.0,-6321.0,True
35,C,366.0,15.0,0.0,15.0,-6321.0,False
36,A,385.0,15.0,0.0,15.0,-396.0,False
36,B,0.0,0.0,0.0,0.0,-396.0,True
36,C,381.0,15.0,0.0,15.0,-396.0,False
37,A,395.0,15.0,5.0,15.0,-83.0,False
37,B,0.0,0.0,0.0,0.0,-83.0,True
37,C,385.0,15.0,11.0,15.0,-83.0,False
38,A,395.0,15.0,15.0,15.0,-110.5,False
38,B,0.0,0.0,0.0,0.0,-110.5,True
38,C,400.0,15.0,0.0,15.0,-110.5,False
39,A,410.0,15.0,0.0,15.0,-425.5,False
39,B,0.0,0.0,0.0,0.0,-425.5,True
39,C,415.0,15.0,0.0,15.0,-425.5,False
40,A,425.0,15.0,0.0,15.0,-8440.5,False
40,B,0.0,0.0,8.0,0.0,-8440.5,True
40,C,430.0,15.0,0.0,15.0,-8440.5,False
41,A,440.0,15.0,0.0,15.0,-4455.5,False
41,B,0.0,0.0,4.0,0.0,-4455.5,True
41,C,445.0,15.0,0.0,15.0,-4455.5,False
42,A,455.0,15.0,0.0,15.0,-9306.5,False
42,B,0.0,0.0,9.0,0.0,-9306.5,True
42,C,452.0,15.0,8.0,15.0,-9306.5,False
43,A,470.0,15.0,0.0,15.0,-5481.5,False
43,B,0.0,0.0,5.0,0.0,-5481.5,True
43,C,467.0,15.0,0.0,15.0,-5481.5,False
44,A,485.0,15.0,0.0,15.0,-312.0,False
44,B,0.0,0.0,0.0,0.0,-312.0,True
44,C,473.0,15.0,9.0,15.0,-312.0,False
45,A,500.0,15.0,0.0,15.0,-7322.5,False
45,B,0.0,0.0,7.0,0.0,-7322.5,True
45,C,479.0,15.0,9.0,15.0,-7322.5,False
46,A,515.0,15.0,0.0,15.0,-6230.5,False
46,B,0.0,0.0,6.0,0.0,-6230.5,True
46,C,480.0,15.0,14.0,15.0,-6230.5,False
47,A,530.0,15.0,0.0,15.0,-423.0,False
47,B,0.0,0.0,0.0,0.0,-423.0,True
47,C,490.0,15.0,5.0,15.0,-423.0,False
48,A,545.0,15.0,0.0,15.0,-538.0,False
48,B,0.0,0.0,0.0,0.0,-538.0,True
48,C,505.0,15.0,0.0,15.0,-538.0,False
49,A,552.0,15.0,8.0,15.0,-389.0,False
49,B,0.0,0.0,0.0,0.0,-389.0,True
49,C,520.0,15.0,0.0,15.0,-389.0,False
50,A,567.0,15.0,0.0,15.0,-8564.0,False
50,B,0.0,0.0,8.0,0.0,-8564.0,True
50,C,535.0,15.0,0.0,15.0,-8564.0,False
51,A,575.0,15.0,7.0,15.0,-8189.5,False
51,B,0.0,0.0,8.0,0.0,-8189.5,True
51,C,538.0,15.0,12.0,15.0,-8189.5,False
52,A,590.0,15.0,0.0,15.0,-9584.5,False
52,B,0.0,0.0,9.0,0.0,-9584.5,True
52,C,553.0,15.0,0.0,15.0,-9584.5,False
53,A,596.0,15.0,9.0,15.0,-11415.0,False
53,B,0.0,0.0,11.0,0.0,-11415.0,True
53,C,568.0,15.0,0.0,15.0,-11415.0,False
54,A,611.0,15.0,0.0,15.0,-11610.0,False
54,B,0.0,0.0,11.0,0.0,-11610.0,True
54,C,583.0,15.0,0.0,15.0,-11610.0,False
55,A,626.0,15.0,0.0,15.0,-625.0,False
55,B,0.0,0.0,0.0,0.0,-625.0,True
55,C,598.0,15.0,0.0,15.0,-625.0,False
56,A,635.0,15.0,6.0,15.0,-332.5,False
56,B,0.0,0.0,0.0,0.0,-332.5,True
56,C,604.0,15.0,9.0,15.0,-332.5,False
57,A,642.0,15.0,8.0,15.0,-13483.5,False
57,B,0.0,0.0,13.0,0.0,-13483.5,True
57,C,619.0,15.0,0.0,15.0,-13483.5,False
58,A,657.0,15.0,0.0,15.0,-515.0,False
58,B,0.0,0.0,0.0,0.0,-515.0,True
58,C,627.0,15.0,7.0,15.0,-515.0,False
59,A,672.0,15.0,0.0,15.0,-506.0,False
59,B,0.0,0.0,0.0,0.0,-506.0,True
59,C,634.0,15.0,8.0,15.0,-506.0,False
60,A,675.0,15.0,12.0,15.0,-9291.5,False
60,B,0.0,0.0,9.0,0.0,-9291.5,True
60,C,642.0,15.0,7.0,15.0,-9291.5,False
61,A,690.0,15.0,0.0,15.0,-440.5,False
61,B,0.0,0.0,0.0,0.0,-440.5,True
61,C,645.0,15.0,12.0,15.0,-440.5,False
62,A,691.0,15.0,14.0,15.0,-408.5,False
62,B,0.0,0.0,0.0,0.0,-408.5,True
62,C,660.0,15.0,0.0,15.0,-408.5,False
63,A,706.0,15.0,0.0,15.0,-10478.0,False
63,B,0.0,0.0,10.0,0.0,-10478.0,True
63,C,664.0,15.0,11.0,15.0,-10478.0,False
64,A,721.0,15.0,0.0,15.0,-713.0,False
64,B,0.0,0.0,0.0,0.0,-713.0,True
64,C,679.0,15.0,0.0,15.0,-713.0,False
65,A,721.0,15.0,15.0,15.0,-420.5,False
65,B,0.0,0.0,0.0,0.0,-420.5,True
65,C,694.0,15.0,0.0,15.0,-420.5,False
66,A,736.0,15.0,0.0,15.0,-9530.5,False
66,B,0.0,0.0,9.0,0.0,-9530.5,True
66,C,699.0,15.0,10.0,15.0,-9530.5,False
67,A,751.0,15.0,0.0,15.0,-11745.5,False
67,B,0.0,0.0,11.0,0.0,-11745.5,True
67,C,714.0,15.0,0.0,15.0,-11745.5,False
68,A,766.0,15.0,0.0,15.0,-760.5,False
68,B,0.0,0.0,0.0,0.0,-760.5,True
68,C,729.0,15.0,0.0,15.0,-760.5,False
69,A,776.0,15.0,5.0,15.0,-468.0,False
69,B,0.0,0.0,0.0,0.0,-468.0,True
69,C,734.0,15.0,10.0,15.0,-468.0,False
70,A,791.0,15.0,0.0,15.0,-7783.0,False
70,B,0.0,0.0,7.0,0.0,-7783.0,True
70,C,749.0,15.0,0.0,15.0,-7783.0,False
71,A,797.0,15.0,9.0,15.0,-613.5,False
71,B,0.0,0.0,0.0,0.0,-613.5,True
71,C,764.0,15.0,0.0,15.0,-613.5,False
72,A,798.0,15.0,14.0,15.0,-378.0,False
72,B,0.0,0.0,0.0,0.0,-378.0,True
72,C,772.0,15.0,7.0,15.0,-378.0,False
73,A,813.0,15.0,0.0,15.0,-11813.0,False
73,B,0.0,0.0,11.0,0.0,-11813.0,True
73,C,787.0,15.0,0.0,15.0,-11813.0,False
74,A,828.0,15.0,0.0,15.0,-582.0,False
74,B,0.0,0.0,0.0,0.0,-582.0,True
74,C,790.0,15.0,12.0,15.0,-582.0,False
75,A,828.0,15.0,15.0,15.0,-529.5,False
75,B,0.0,0.0,0.0,0.0,-529.5,True
75,C,805.0,15.0,0.0,15.0,-529.5,False
76,A,836.0,15.0,7.0,15.0,-701.0,False
76,B,0.0,0.0,0.0,0.0,-701.0,True
76,C,820.0,15.0,0.0,15.0,-701.0,False
77,A,851.0,15.0,0.0,15.0,-9856.0,False
77,B,0.0,0.0,9.0,0.0,-9856.0,True
77,C,835.0,15.0,0.0,15.0,-9856.0,False
