Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,B,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,C,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
2,A,40.0,0.0,0.0,10.0,118.86,118.86,False
2,B,40.0,0.0,0.0,10.0,118.86,118.86,False
2,C,34.0,0.0,6.0,10.0,118.86,118.86,False
3,A,40.0,0.0,0.0,0.0,198.96,317.82,False
3,B,34.0,0.0,6.0,0.0,198.96,317.82,False
3,C,30.0,0.0,4.0,0.0,198.96,317.82,False
4,A,40.0,0.0,0.0,0.0,119.02,436.84,False
4,B,28.0,0.0,6.0,0.0,119.02,436.84,False
4,C,30.0,0.0,0.0,0.0,119.02,436.84,False
5,A,40.0,0.0,0.0,0.0,319.18,756.02,False
5,B,22.0,0.0,6.0,0.0,319.18,756.02,False
5,C,20.0,0.0,10.0,0.0,319.18,756.02,False
6,A,40.0,0.0,0.0,0.0,159.26,915.28,False
6,B,22.0,0.0,0.0,0.0,159.26,915.28,False
6,C,12.0,0.0,8.0,0.0,159.26,915.28,False
7,A,32.0,0.0,8.0,0.0,159.34,1074.62,False
7,B,22.0,0.0,0.0,0.0,159.34,1074.62,False
7,C,12.0,0.0,0.0,0.0,159.34,1074.62,False
8,A,32.0,0.0,0.0,0.0,119.4,1194.02,False
8,B,22.0,0.0,0.0,0.0,119.4,1194.02,False
8,C,6.0,0.0,6.0,0.0,119.4,1194.02,False
9,A,32.0,0.0,0.0,0.0,59.43,1253.45,False
9,B,19.0,0.0,3.0,0.0,59.43,1253.45,False
9,C,6.0,0.0,0.0,0.0,59.43,1253.45,False
10,A,32.0,0.0,0.0,0.0,159.51,1412.96,False
10,B,11.0,0.0,8.0,0.0,159.51,1412.96,False
10,C,6.0,0.0,0.0,0.0,159.51,1412.96,False
11,A,25.0,0.0,7.0,0.0,139.58,1552.54,False
11,B,11.0,0.0,0.0,0.0,139.58,1552.54,False
11,C,6.0,0.0,0.0,0.0,139.58,1552.54,False
12,A,25.0,0.0,0.0,0.0,119.64,1672.18,False
12,B,5.0,0.0,6.0,0.0,119.64,1672.18,False
12,C,6.0,0.0,0.0,0.0,119.64,1672.18,False
13,A,25.0,0.0,0.0,0.0,-2903.31,-1231.1299999999999,False
13,B,0.0,20.0,10.0,0.0,-2903.31,-1231.1299999999999,True
13,C,6.0,0.0,0.0,0.0,-2903.31,-1231.1299999999999,False
14,A,25.0,0.0,0.0,0.0,-503.31,-1734.4399999999998,False
14,B,0.0,20.0,0.0,0.0,-503.31,-1734.4399999999998,True
14,C,6.0,0.0,0.0,0.0,-503.31,-1734.4399999999998,False
15,A,25.0,0.0,0.0,0.0,-1883.25,-3617.6899999999996,False
15,B,0.0,20.0,0.0,0.0,-1883.25,-3617.6899999999996,True
15,C,0.0,0.0,8.0,0.0,-1883.25,-3617.6899999999996,True
16,A,25.0,0.0,0.0,0.0,-3866.38,-7484.07,False
16,B,13.0,20.0,2.0,20.0,-3866.38,-7484.07,False
16,C,0.0,20.0,6.0,0.0,-3866.38,-7484.07,True
17,A,25.0,0.0,0.0,0.0,-803.48,-8287.55,False
17,B,23.0,0.0,10.0,20.0,-803.48,-8287.55,False
17,C,0.0,20.0,0.0,0.0,-803.48,-8287.55,True
18,A,18.0,0.0,7.0,0.0,-6863.61,-15151.16,False
18,B,43.0,0.0,0.0,20.0,-6863.61,-15151.16,False
18,C,0.0,20.0,11.0,0.0,-6863.61,-15151.16,True
19,A,18.0,0.0,0.0,0.0,376.18,-14774.98,False
19,B,63.0,0.0,0.0,20.0,376.18,-14774.98,False
19,C,1.0,20.0,0.0,20.0,376.18,-14774.98,False
20,A,18.0,0.0,0.0,0.0,-4.02,-14779.0,False
20,B,63.0,0.0,0.0,0.0,-4.02,-14779.0,False
20,C,21.0,20.0,0.0,20.0,-4.02,-14779.0,False
21,A,9.0,0.0,9.0,0.0,278.92,-14500.08,False
21,B,58.0,0.0,5.0,0.0,278.92,-14500.08,False
21,C,41.0,0.0,0.0,20.0,278.92,-14500.08,False
22,A,9.0,0.0,0.0,0.0,-1.28,-14501.36,False
22,B,58.0,0.0,0.0,0.0,-1.28,-14501.36,False
22,C,61.0,0.0,0.0,20.0,-1.28,-14501.36,False
23,A,9.0,0.0,0.0,0.0,-1.48,-14502.84,False
23,B,58.0,0.0,0.0,0.0,-1.48,-14502.84,False
23,C,81.0,0.0,0.0,20.0,-1.48,-14502.84,False
24,A,9.0,0.0,0.0,0.0,-1.48,-14504.32,False
24,B,58.0,0.0,0.0,0.0,-1.48,-14504.32,False
24,C,81.0,0.0,0.0,0.0,-1.48,-14504.32,False
25,A,0.0,0.0,10.0,0.0,-601.28,-15105.6,True
25,B,47.0,0.0,11.0,0.0,-601.28,-15105.6,False
25,C,81.0,0.0,0.0,0.0,-601.28,-15105.6,False
26,A,0.0,20.0,6.0,0.0,-3844.2,-18949.8,True
26,B,47.0,0.0,0.0,0.0,-3844.2,-18949.8,False
26,C,73.0,0.0,8.0,0.0,-3844.2,-18949.8,False
27,A,0.0,20.0,0.0,0.0,-744.07,-19693.87,True
27,B,39.0,0.0,8.0,0.0,-744.07,-19693.87,False
27,C,68.0,0.0,5.0,0.0,-744.07,-19693.87,False
28,A,0.0,20.0,9.0,0.0,-5703.92,-25397.79,True
28,B,32.0,0.0,7.0,0.0,-5703.92,-25397.79,False
28,C,60.0,0.0,8.0,0.0,-5703.92,-25397.79,False
29,A,4.0,20.0,0.0,20.0,376.07,-25021.72,False
29,B,29.0,0.0,3.0,0.0,376.07,-25021.72,False
29,C,60.0,0.0,0.0,0.0,376.07,-25021.72,False
30,A,24.0,20.0,0.0,20.0,115.93,-24905.79,False
30,B,29.0,0.0,0.0,0.0,115.93,-24905.79,False
30,C,54.0,0.0,6.0,0.0,115.93,-24905.79,False
31,A,33.0,0.0,11.0,20.0,358.91,-24546.88,False
31,B,29.0,0.0,0.0,0.0,358.91,-24546.88,False
31,C,47.0,0.0,7.0,0.0,358.91,-24546.88,False
32,A,53.0,0.0,0.0,20.0,-1.29,-24548.170000000002,False
32,B,29.0,0.0,0.0,0.0,-1.29,-24548.170000000002,False
32,C,47.0,0.0,0.0,0.0,-1.29,-24548.170000000002,False
33,A,68.0,0.0,5.0,20.0,398.71,-24149.460000000003,False
33,B,23.0,0.0,6.0,0.0,398.71,-24149.460000000003,False
33,C,38.0,0.0,9.0,0.0,398.71,-24149.460000000003,False
34,A,68.0,0.0,0.0,0.0,118.77,-24030.690000000002,False
34,B,17.0,0.0,6.0,0.0,118.77,-24030.690000000002,False
34,C,38.0,0.0,0.0,0.0,118.77,-24030.690000000002,False
35,A,68.0,0.0,0.0,0.0,-1.23,-24031.920000000002,False
35,B,17.0,0.0,0.0,0.0,-1.23,-24031.920000000002,False
35,C,38.0,0.0,0.0,0.0,-1.23,-24031.920000000002,False
36,A,60.0,0.0,8.0,0.0,158.85,-23873.070000000003,False
36,B,17.0,0.0,0.0,0.0,158.85,-23873.070000000003,False
36,C,38.0,0.0,0.0,0.0,158.85,-23873.070000000003,False
37,A,60.0,0.0,0.0,0.0,238.97,-23634.100000000002,False
37,B,9.0,0.0,8.0,0.0,238.97,-23634.100000000002,False
37,C,34.0,0.0,4.0,0.0,238.97,-23634.100000000002,False
38,A,60.0,0.0,0.0,0.0,-1.03,-23635.13,False
38,B,9.0,0.0,0.0,0.0,-1.03,-23635.13,False
