Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,B,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,C,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
2,A,41.0,15.0,4.0,15.0,-21.810000000000002,-21.810000000000002,False
2,B,35.0,15.0,10.0,15.0,-21.810000000000002,-21.810000000000002,False
2,C,45.0,15.0,0.0,15.0,-21.810000000000002,-21.810000000000002,False
3,A,31.0,15.0,10.0,0.0,122.9,101.09,False
3,B,35.0,15.0,0.0,0.0,122.9,101.09,False
3,C,32.0,0.0,13.0,0.0,122.9,101.09,False
4,A,19.0,0.0,12.0,0.0,320.07,421.15999999999997,False
4,B,21.0,0.0,14.0,0.0,320.07,421.15999999999997,False
4,C,21.0,15.0,11.0,0.0,320.07,421.15999999999997,False
5,A,34.0,0.0,0.0,15.0,4.229999999999997,425.39,False
5,B,36.0,15.0,0.0,15.0,4.229999999999997,425.39,False
5,C,25.0,15.0,11.0,15.0,4.229999999999997,425.39,False
6,A,49.0,0.0,0.0,15.0,69.28,494.66999999999996,False
6,B,36.0,0.0,15.0,15.0,69.28,494.66999999999996,False
6,C,25.0,15.0,0.0,0.0,69.28,494.66999999999996,False
7,A,49.0,15.0,0.0,0.0,-127.97,366.69999999999993,False
7,B,36.0,15.0,0.0,0.0,-127.97,366.69999999999993,False
7,C,40.0,0.0,0.0,15.0,-127.97,366.69999999999993,False
8,A,49.0,15.0,0.0,0.0,45.28,411.9799999999999,False
8,B,36.0,0.0,15.0,15.0,45.28,411.9799999999999,False
8,C,55.0,0.0,0.0,15.0,45.28,411.9799999999999,False
9,A,40.0,0.0,9.0,0.0,-62.96000000000001,349.01999999999987,False
9,B,36.0,15.0,0.0,0.0,-62.96000000000001,349.01999999999987,False
9,C,70.0,15.0,0.0,15.0,-62.96000000000001,349.01999999999987,False
10,A,55.0,0.0,0.0,15.0,-105.26,243.75999999999988,False
10,B,51.0,0.0,0.0,15.0,-105.26,243.75999999999988,False
10,C,70.0,0.0,0.0,0.0,-105.26,243.75999999999988,False
11,A,70.0,0.0,0.0,15.0,-33.45,210.3099999999999,False
11,B,51.0,0.0,0.0,0.0,-33.45,210.3099999999999,False
11,C,62.0,0.0,8.0,0.0,-33.45,210.3099999999999,False
12,A,70.0,0.0,0.0,0.0,-26.120000000000005,184.18999999999988,False
12,B,66.0,0.0,0.0,15.0,-26.120000000000005,184.18999999999988,False
12,C,66.0,0.0,11.0,15.0,-26.120000000000005,184.18999999999988,False
13,A,62.0,0.0,8.0,0.0,178.82,363.0099999999999,False
13,B,57.0,0.0,9.0,0.0,178.82,363.0099999999999,False
13,C,55.0,0.0,11.0,0.0,178.82,363.0099999999999,False
14,A,62.0,0.0,0.0,0.0,-39.59,323.41999999999985,False
14,B,57.0,0.0,0.0,0.0,-39.59,323.41999999999985,False
14,C,46.0,15.0,9.0,0.0,-39.59,323.41999999999985,False
15,A,51.0,15.0,11.0,0.0,28.239999999999995,351.65999999999985,False
15,B,47.0,15.0,10.0,0.0,28.239999999999995,351.65999999999985,False
15,C,46.0,15.0,0.0,0.0,28.239999999999995,351.65999999999985,False
16,A,51.0,15.0,0.0,0.0,152.56,504.21999999999986,False
16,B,32.0,0.0,15.0,0.0,152.56,504.21999999999986,False
16,C,37.0,0.0,9.0,0.0,152.56,504.21999999999986,False
17,A,51.0,0.0,0.0,0.0,-12.049999999999997,492.16999999999985,False
17,B,20.0,15.0,12.0,0.0,-12.049999999999997,492.16999999999985,False
17,C,52.0,15.0,0.0,15.0,-12.049999999999997,492.16999999999985,False
18,A,60.0,0.0,6.0,15.0,-70.64,421.52999999999986,False
18,B,35.0,15.0,0.0,15.0,-70.64,421.52999999999986,False
18,C,67.0,0.0,0.0,15.0,-70.64,421.52999999999986,False
19,A,75.0,0.0,0.0,15.0,-113.39,308.1399999999999,False
19,B,35.0,0.0,0.0,0.0,-113.39,308.1399999999999,False
19,C,67.0,0.0,0.0,0.0,-113.39,308.1399999999999,False
20,A,75.0,0.0,0.0,0.0,-148.49,159.64999999999986,False
20,B,50.0,0.0,0.0,15.0,-148.49,159.64999999999986,False
20,C,82.0,0.0,0.0,15.0,-148.49,159.64999999999986,False
21,A,62.0,0.0,13.0,0.0,120.31,279.95999999999987,False
21,B,65.0,0.0,0.0,15.0,120.31,279.95999999999987,False
21,C,70.0,0.0,12.0,0.0,120.31,279.95999999999987,False
22,A,52.0,0.0,10.0,0.0,83.5,363.45999999999987,False
22,B,65.0,0.0,0.0,0.0,83.5,363.45999999999987,False
22,C,61.0,0.0,9.0,0.0,83.5,363.45999999999987,False
23,A,40.0,15.0,12.0,0.0,65.09,428.54999999999984,False
23,B,65.0,0.0,0.0,0.0,65.09,428.54999999999984,False
23,C,54.0,0.0,7.0,0.0,65.09,428.54999999999984,False
24,A,31.0,15.0,9.0,0.0,-28.519999999999996,400.02999999999986,False
24,B,65.0,0.0,0.0,0.0,-28.519999999999996,400.02999999999986,False
24,C,54.0,0.0,0.0,0.0,-28.519999999999996,400.02999999999986,False
25,A,23.0,15.0,8.0,0.0,66.69,466.71999999999986,False
25,B,56.0,0.0,9.0,0.0,66.69,466.71999999999986,False
25,C,54.0,0.0,0.0,0.0,66.69,466.71999999999986,False
26,A,28.0,0.0,10.0,15.0,141.84,608.5599999999998,False
26,B,46.0,0.0,10.0,0.0,141.84,608.5599999999998,False
26,C,54.0,0.0,0.0,0.0,141.84,608.5599999999998,False
27,A,32.0,0.0,11.0,15.0,11.939999999999998,620.4999999999998,False
27,B,46.0,0.0,0.0,0.0,11.939999999999998,620.4999999999998,False
27,C,54.0,15.0,0.0,0.0,11.939999999999998,620.4999999999998,False
28,A,43.0,15.0,4.0,15.0,194.95,815.4499999999998,False
28,B,35.0,0.0,11.0,0.0,194.95,815.4499999999998,False
28,C,41.0,0.0,13.0,0.0,194.95,815.4499999999998,False
29,A,31.0,15.0,12.0,0.0,6.329999999999998,821.7799999999999,False
29,B,35.0,0.0,0.0,0.0,6.329999999999998,821.7799999999999,False
29,C,41.0,15.0,0.0,0.0,6.329999999999998,821.7799999999999,False
30,A,17.0,0.0,14.0,0.0,56.0,877.7799999999999,False
30,B,35.0,15.0,0.0,0.0,56.0,877.7799999999999,False
30,C,56.0,0.0,0.0,15.0,56.0,877.7799999999999,False
31,A,32.0,0.0,0.0,15.0,67.25999999999999,945.0399999999998,False
31,B,35.0,0.0,0.0,0.0,67.25999999999999,945.0399999999998,False
31,C,45.0,0.0,11.0,0.0,67.25999999999999,945.0399999999998,False
32,A,40.0,0.0,7.0,15.0,-31.75,913.2899999999998,False
32,B,35.0,15.0,0.0,0.0,-31.75,913.2899999999998,False
32,C,60.0,0.0,0.0,15.0,-31.75,913.2899999999998,False
33,A,40.0,15.0,0.0,0.0,-114.5,798.7899999999998,False
33,B,50.0,0.0,0.0,15.0,-114.5,798.7899999999998,False
33,C,60.0,0.0,0.0,0.0,-114.5,798.7899999999998,False
34,A,40.0,15.0,0.0,0.0,-114.5,684.2899999999998,False
34,B,50.0,0.0,0.0,0.0,-114.5,684.2899999999998,False
34,C,60.0,0.0,0.0,0.0,-114.5,684.2899999999998,False
35,A,29.0,0.0,11.0,0.0,-14.159999999999997,670.1299999999999,False
35,B,65.0,0.0,0.0,15.0,-14.159999999999997,670.1299999999999,False
35,C,60.0,15.0,0.0,0.0,-14.159999999999997,670.1299999999999,False
