Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,45.0,0,0.0,15,-115.75,-115.75,False
1,B,45.0,50,0.0,15,-115.75,-115.75,False
1,C,45.0,0,0.0,15,-115.75,-115.75,False
2,A,31.0,0,14.0,0,89.89,-25.86,False
2,B,45.0,0,0.0,0,89.89,-25.86,False
2,C,45.0,0,0.0,0,89.89,-25.86,False
3,A,18.0,50,13.0,0,30.509999999999998,4.649999999999999,False
3,B,45.0,0,0.0,0,30.509999999999998,4.649999999999999,False
3,C,40.0,50,5.0,0,30.509999999999998,4.649999999999999,False
4,A,18.0,0,0.0,0,-109.49,-104.84,False
4,B,95.0,0,0.0,50,-109.49,-104.84,False
4,C,40.0,0,0.0,0,-109.49,-104.84,False
5,A,7.0,0,11.0,0,110.26,5.420000000000002,False
5,B,95.0,0,0.0,0,110.26,5.420000000000002,False
5,C,30.0,0,10.0,0,110.26,5.420000000000002,False
6,A,57.0,0,0.0,50,3.6100000000000136,9.030000000000015,False
6,B,81.0,50,14.0,0,3.6100000000000136,9.030000000000015,False
6,C,73.0,0,7.0,50,3.6100000000000136,9.030000000000015,False
7,A,47.0,0,10.0,0,-40.99000000000001,-31.959999999999994,False
7,B,81.0,0,0.0,0,-40.99000000000001,-31.959999999999994,False
7,C,73.0,0,0.0,0,-40.99000000000001,-31.959999999999994,False
8,A,47.0,50,0.0,0,-124.38,-156.33999999999997,False
8,B,70.0,0,11.0,0,-124.38,-156.33999999999997,False
8,C,73.0,50,0.0,0,-124.38,-156.33999999999997,False
9,A,36.0,0,11.0,0,226.87,70.53000000000003,False
9,B,109.0,0,11.0,50,226.87,70.53000000000003,False
9,C,56.0,0,17.0,0,226.87,70.53000000000003,False
10,A,36.0,0,0.0,0,-163.13,-92.59999999999997,False
10,B,109.0,0,0.0,0,-163.13,-92.59999999999997,False
10,C,56.0,0,0.0,0,-163.13,-92.59999999999997,False
11,A,86.0,0,0.0,50,-251.32,-343.91999999999996,False
11,B,100.0,50,9.0,0,-251.32,-343.91999999999996,False
11,C,106.0,0,0.0,50,-251.32,-343.91999999999996,False
12,A,75.0,0,11.0,0,-16.05000000000001,-359.96999999999997,False
12,B,88.0,0,12.0,0,-16.05000000000001,-359.96999999999997,False
12,C,106.0,0,0.0,0,-16.05000000000001,-359.96999999999997,False
13,A,75.0,15,0.0,0,-70.25,-430.21999999999997,False
13,B,79.0,0,9.0,0,-70.25,-430.21999999999997,False
13,C,97.0,0,9.0,0,-70.25,-430.21999999999997,False
14,A,75.0,0,0.0,0,-51.55000000000001,-481.77,False
14,B,121.0,0,8.0,50,-51.55000000000001,-481.77,False
14,C,83.0,0,14.0,0,-51.55000000000001,-481.77,False
15,A,75.0,50,0.0,0,-179.5,-661.27,False
15,B,114.0,0,7.0,0,-179.5,-661.27,False
15,C,73.0,50,10.0,0,-179.5,-661.27,False
16,A,90.0,0,0.0,15,-150.65,-811.92,False
16,B,114.0,0,0.0,0,-150.65,-811.92,False
16,C,63.0,0,10.0,0,-150.65,-811.92,False
17,A,90.0,0,0.0,0,-250.65,-1062.57,False
17,B,114.0,0,0.0,0,-250.65,-1062.57,False
17,C,63.0,0,0.0,0,-250.65,-1062.57,False
18,A,140.0,0,0.0,50,-241.16999999999996,-1303.7399999999998,False
18,B,101.0,50,13.0,0,-241.16999999999996,-1303.7399999999998,False
18,C,104.0,0,9.0,50,-241.16999999999996,-1303.7399999999998,False
19,A,127.0,0,13.0,0,-241.46000000000004,-1545.1999999999998,False
19,B,101.0,0,0.0,0,-241.46000000000004,-1545.1999999999998,False
19,C,104.0,0,0.0,0,-241.46000000000004,-1545.1999999999998,False
20,A,127.0,50,0.0,0,-481.46000000000004,-2026.6599999999999,False
20,B,101.0,0,0.0,0,-481.46000000000004,-2026.6599999999999,False
20,C,104.0,50,0.0,0,-481.46000000000004,-2026.6599999999999,False
21,A,119.0,0,8.0,0,-268.58000000000004,-2295.24,False
21,B,141.0,0,10.0,50,-268.58000000000004,-2295.24,False
21,C,104.0,0,0.0,0,-268.58000000000004,-2295.24,False
22,A,119.0,0,0.0,0,-448.58000000000004,-2743.8199999999997,False
22,B,141.0,0,0.0,0,-448.58000000000004,-2743.8199999999997,False
22,C,104.0,0,0.0,0,-448.58000000000004,-2743.8199999999997,False
23,A,169.0,0,0.0,50,-611.61,-3355.43,False
23,B,128.0,50,13.0,0,-611.61,-3355.43,False
23,C,154.0,0,0.0,50,-611.61,-3355.43,False
24,A,169.0,0,0.0,0,-686.61,-4042.04,False
24,B,128.0,0,0.0,0,-686.61,-4042.04,False
24,C,154.0,0,0.0,0,-686.61,-4042.04,False
25,A,169.0,0,0.0,0,-419.34000000000003,-4461.38,False
25,B,118.0,0,10.0,0,-419.34000000000003,-4461.38,False
25,C,143.0,0,11.0,0,-419.34000000000003,-4461.38,False
26,A,169.0,0,0.0,0,-632.09,-5093.47,False
26,B,168.0,0,0.0,50,-632.09,-5093.47,False
26,C,132.0,0,11.0,0,-632.09,-5093.47,False
27,A,169.0,15,0.0,0,-684.49,-5777.96,False
27,B,158.0,0,10.0,0,-684.49,-5777.96,False
27,C,132.0,15,0.0,0,-684.49,-5777.96,False
28,A,160.0,0,9.0,0,-589.88,-6367.84,False
28,B,158.0,0,0.0,0,-589.88,-6367.84,False
28,C,132.0,0,0.0,0,-589.88,-6367.84,False
29,A,150.0,0,10.0,0,-470.28,-6838.12,False
29,B,152.0,0,6.0,0,-470.28,-6838.12,False
29,C,132.0,0,0.0,0,-470.28,-6838.12,False
30,A,147.0,0,18.0,15,-538.22,-7376.34,False
30,B,152.0,50,0.0,0,-538.22,-7376.34,False
30,C,147.0,0,0.0,15,-538.22,-7376.34,False
31,A,135.0,0,12.0,0,-367.15,-7743.49,False
31,B,141.0,0,11.0,0,-367.15,-7743.49,False
31,C,147.0,0,0.0,0,-367.15,-7743.49,False
32,A,135.0,0,0.0,0,-354.29999999999995,-8097.79,False
32,B,131.0,0,10.0,0,-354.29999999999995,-8097.79,False
32,C,138.0,0,9.0,0,-354.29999999999995,-8097.79,False
33,A,135.0,0,0.0,0,-700.3,-8798.09,False
33,B,181.0,0,0.0,50,-700.3,-8798.09,False
33,C,138.0,0,0.0,0,-700.3,-8798.09,False
34,A,117.0,15,18.0,0,-549.94,-9348.03,False
34,B,181.0,0,0.0,0,-549.94,-9348.03,False
34,C,138.0,15,0.0,0,-549.94,-9348.03,False
35,A,117.0,0,0.0,0,-553.5,-9901.53,False
35,B,181.0,0,0.0,0,-553.5,-9901.53,False
35,C,130.0,0,8.0,0,-553.5,-9901.53,False
36,A,104.0,0,13.0,0,-312.65999999999997,-10214.19,False
36,B,181.0,0,0.0,0,-312.65999999999997,-10214.19,False
36,C,117.0,0,13.0,0,-312.65999999999997,-10214.19,False
37,A,112.0,0,7.0,15,-419.46000000000004,-10633.650000000001,False
37,B,181.0,0,0.0,0,-419.46000000000004,-10633.650000000001,False
37,C,121.0,0,11.0,15,-419.46000000000004,-10633.650000000001,False
38,A,112.0,50,0.0,0,-709.46,-11343.11,False
38,B,181.0,0,0.0,0,-709.46,-11343.11,False
38,C,121.0,50,0.0,0,-709.46,-11343.11,False
39,A,102.0,0,10.0,0,-478.06000000000006,-11821.17,False
39,B,181.0,0,0.0,0,-478.06000000000006,-11821.17,False
39,C,121.0,0,0.0,0,-478.06000000000006,-11821.17,False
40,A,90.0,0,12.0,0,-336.29999999999995,-12157.47,False
40,B,181.0,0,0.0,0,-336.29999999999995,-12157.47,False
40,C,113.0,0,8.0,0,-336.29999999999995,-12157.47,False
41,A,140.0,0,0.0,50,-722.53,-12880.0,False
41,B,172.0,50,9.0,0,-722.53,-12880.0,False
41,C,163.0,0,0.0,50,-722.53,-12880.0,False
42,A,140.0,0,0.0,0,-757.53,-13637.53,False
42,B,172.0,0,0.0,0,-757.53,-13637.53,False
42,C,163.0,0,0.0,0,-757.53,-13637.53,False
43,A,140.0,0,0.0,0,-650.65,-14288.18,False
43,B,164.0,0,8.0,0,-650.65,-14288.18,False
43,C,163.0,0,0.0,0,-650.65,-14288.18,False
44,A,140.0,0,0.0,0,-649.49,-14937.67,False
44,B,207.0,0,7.0,50,-649.49,-14937.67,False
44,C,150.0,0,13.0,0,-649.49,-14937.67,False
45,A,140.0,0,0.0,0,-849.49,-15787.16,False
45,B,207.0,0,0.0,0,-849.49,-15787.16,False
45,C,150.0,0,0.0,0,-849.49,-15787.16,False
46,A,140.0,0,0.0,0,-849.49,-16636.65,False
46,B,207.0,0,0.0,0,-849.49,-16636.65,False
46,C,150.0,0,0.0,0,-849.49,-16636.65,False
47,A,140.0,0,0.0,0,-737.01,-17373.66,False
47,B,199.0,0,8.0,0,-737.01,-17373.66,False
47,C,150.0,0,0.0,0,-737.01,-17373.66,False
48,A,127.0,0,13.0,0,-513.5,-17887.16,False
48,B,189.0,0,10.0,0,-513.5,-17887.16,False
48,C,150.0,0,0.0,0,-513.5,-17887.16,False
49,A,127.0,50,0.0,0,-716.7,-18603.86,False
49,B,179.0,0,10.0,0,-716.7,-18603.86,False
49,C,150.0,50,0.0,0,-716.7,-18603.86,False
50,A,127.0,0,0.0,0,-526.6600000000001,-19130.52,False
50,B,179.0,0,0.0,0,-526.6600000000001,-19130.52,False
50,C,136.0,0,14.0,0,-526.6600000000001,-19130.52,False
51,A,117.0,0,10.0,0,-380.74,-19511.260000000002,False
51,B,167.0,0,12.0,0,-380.74,-19511.260000000002,False
51,C,136.0,0,0.0,0,-380.74,-19511.260000000002,False
