Time,Node,Stock,Action,Demand,Delivery,Reward,Total Reward,Backlog
1,A,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,B,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
1,C,30.0,0.0,0.0,0.0,-0.8999999761581421,-0.8999999761581421,False
2,A,45.0,50.0,0.0,15.0,-47.0,-47.0,False
2,B,30.0,15.0,15.0,15.0,-47.0,-47.0,False
2,C,45.0,50.0,0.0,15.0,-47.0,-47.0,False
3,A,45.0,0.0,0.0,0.0,-7.210000000000001,-54.21,False
3,B,30.0,50.0,0.0,0.0,-7.210000000000001,-54.21,False
3,C,36.0,0.0,9.0,0.0,-7.210000000000001,-54.21,False
4,A,29.0,50.0,16.0,0.0,56.68,2.469999999999999,False
4,B,30.0,15.0,0.0,0.0,56.68,2.469999999999999,False
4,C,29.0,50.0,7.0,0.0,56.68,2.469999999999999,False
5,A,73.0,50.0,6.0,50.0,-223.45,-220.98,False
5,B,45.0,15.0,0.0,15.0,-223.45,-220.98,False
5,C,79.0,50.0,0.0,50.0,-223.45,-220.98,False
6,A,57.0,50.0,16.0,0.0,-172.65,-393.63,False
6,B,95.0,15.0,0.0,50.0,-172.65,-393.63,False
6,C,79.0,50.0,0.0,0.0,-172.65,-393.63,False
7,A,107.0,50.0,0.0,50.0,-440.40999999999997,-834.04,False
7,B,101.0,15.0,9.0,15.0,-440.40999999999997,-834.04,False
7,C,129.0,50.0,0.0,50.0,-440.40999999999997,-834.04,False
8,A,157.0,50.0,0.0,50.0,-775.4000000000001,-1609.44,False
8,B,110.0,15.0,6.0,15.0,-775.4000000000001,-1609.44,False
8,C,179.0,50.0,0.0,50.0,-775.4000000000001,-1609.44,False
9,A,207.0,50.0,0.0,50.0,-1144.96,-2754.4,False
9,B,116.0,15.0,9.0,15.0,-1144.96,-2754.4,False
9,C,229.0,50.0,0.0,50.0,-1144.96,-2754.4,False
10,A,246.0,50.0,11.0,50.0,-1592.6799999999998,-4347.08,False
10,B,131.0,15.0,0.0,15.0,-1592.6799999999998,-4347.08,False
10,C,279.0,50.0,0.0,50.0,-1592.6799999999998,-4347.08,False
11,A,290.0,50.0,6.0,50.0,-2077.0699999999997,-6424.15,False
11,B,141.0,15.0,5.0,15.0,-2077.0699999999997,-6424.15,False
11,C,324.0,50.0,5.0,50.0,-2077.0699999999997,-6424.15,False
12,A,326.0,50.0,14.0,50.0,-2521.31,-8945.46,False
12,B,156.0,15.0,0.0,15.0,-2521.31,-8945.46,False
12,C,363.0,50.0,11.0,50.0,-2521.31,-8945.46,False
13,A,376.0,50.0,0.0,50.0,-3559.36,-12504.82,False
13,B,171.0,15.0,0.0,15.0,-3559.36,-12504.82,False
13,C,413.0,50.0,0.0,50.0,-3559.36,-12504.82,False
14,A,420.0,50.0,6.0,50.0,-4341.15,-16845.97,False
14,B,186.0,15.0,0.0,15.0,-4341.15,-16845.97,False
14,C,463.0,50.0,0.0,50.0,-4341.15,-16845.97,False
15,A,470.0,50.0,0.0,50.0,-5190.6,-22036.57,False
15,B,201.0,15.0,0.0,15.0,-5190.6,-22036.57,False
15,C,503.0,50.0,10.0,50.0,-5190.6,-22036.57,False
16,A,520.0,50.0,0.0,50.0,-6347.55,-28384.12,False
16,B,214.0,15.0,2.0,15.0,-6347.55,-28384.12,False
16,C,553.0,50.0,0.0,50.0,-6347.55,-28384.12,False
17,A,570.0,50.0,0.0,50.0,-7557.0,-35941.119999999995,False
17,B,229.0,15.0,0.0,15.0,-7557.0,-35941.119999999995,False
17,C,603.0,50.0,0.0,50.0,-7557.0,-35941.119999999995,False
18,A,608.0,50.0,12.0,50.0,-8331.14,-44272.259999999995,False
18,B,244.0,15.0,0.0,15.0,-8331.14,-44272.259999999995,False
18,C,642.0,50.0,11.0,50.0,-8331.14,-44272.259999999995,False
19,A,658.0,50.0,0.0,50.0,-9534.2,-53806.45999999999,False
19,B,259.0,15.0,0.0,15.0,-9534.2,-53806.45999999999,False
19,C,675.0,50.0,17.0,50.0,-9534.2,-53806.45999999999,False
20,A,708.0,50.0,0.0,50.0,-10998.08,-64804.53999999999,False
20,B,263.0,15.0,11.0,15.0,-10998.08,-64804.53999999999,False
20,C,725.0,50.0,0.0,50.0,-10998.08,-64804.53999999999,False
21,A,752.0,50.0,6.0,50.0,-12521.630000000001,-77326.17,False
21,B,278.0,15.0,0.0,15.0,-12521.630000000001,-77326.17,False
21,C,775.0,50.0,0.0,50.0,-12521.630000000001,-77326.17,False
22,A,802.0,50.0,0.0,50.0,-14244.279999999999,-91570.45,False
22,B,293.0,15.0,0.0,15.0,-14244.279999999999,-91570.45,False
22,C,825.0,50.0,0.0,50.0,-14244.279999999999,-91570.45,False
23,A,837.0,50.0,15.0,50.0,-15608.080000000002,-107178.53,False
23,B,308.0,15.0,0.0,15.0,-15608.080000000002,-107178.53,False
23,C,875.0,50.0,0.0,50.0,-15608.080000000002,-107178.53,False
24,A,876.0,50.0,11.0,50.0,-17225.39,-124403.92,False
24,B,323.0,15.0,0.0,15.0,-17225.39,-124403.92,False
24,C,922.0,50.0,3.0,50.0,-17225.39,-124403.92,False
25,A,926.0,50.0,0.0,50.0,-19077.660000000003,-143481.58000000002,False
25,B,338.0,15.0,0.0,15.0,-19077.660000000003,-143481.58000000002,False
25,C,964.0,50.0,8.0,50.0,-19077.660000000003,-143481.58000000002,False
26,A,967.0,50.0,9.0,50.0,-20634.64,-164116.22000000003,False
26,B,353.0,15.0,0.0,15.0,-20634.64,-164116.22000000003,False
26,C,1004.0,50.0,10.0,50.0,-20634.64,-164116.22000000003,False
27,A,1013.0,50.0,4.0,50.0,-22350.190000000002,-186466.41000000003,False
27,B,358.0,15.0,10.0,15.0,-22350.190000000002,-186466.41000000003,False
27,C,1044.0,50.0,10.0,50.0,-22350.190000000002,-186466.41000000003,False
28,A,1063.0,50.0,0.0,50.0,-24489.04,-210955.45000000004,False
28,B,373.0,15.0,0.0,15.0,-24489.04,-210955.45000000004,False
28,C,1084.0,50.0,10.0,50.0,-24489.04,-210955.45000000004,False
29,A,1113.0,50.0,0.0,50.0,-26900.190000000002,-237855.64000000004,False
29,B,388.0,15.0,0.0,15.0,-26900.190000000002,-237855.64000000004,False
29,C,1134.0,50.0,0.0,50.0,-26900.190000000002,-237855.64000000004,False
30,A,1163.0,50.0,0.0,50.0,-28946.57,-266802.21,False
30,B,403.0,15.0,0.0,15.0,-28946.57,-266802.21,False
30,C,1173.0,50.0,11.0,50.0,-28946.57,-266802.21,False
31,A,1213.0,50.0,0.0,50.0,-31324.989999999998,-298127.2,False
31,B,418.0,15.0,0.0,15.0,-31324.989999999998,-298127.2,False
31,C,1216.0,50.0,7.0,50.0,-31324.989999999998,-298127.2,False
32,A,1263.0,50.0,0.0,50.0,-33760.75,-331887.95,False
32,B,420.0,15.0,13.0,15.0,-33760.75,-331887.95,False
32,C,1266.0,50.0,0.0,50.0,-33760.75,-331887.95,False
33,A,1307.0,50.0,6.0,50.0,-35982.490000000005,-367870.44,False
33,B,435.0,15.0,0.0,15.0,-35982.490000000005,-367870.44,False
33,C,1305.0,50.0,11.0,50.0,-35982.490000000005,-367870.44,False
34,A,1357.0,50.0,0.0,50.0,-38429.8,-406300.24,False
34,B,450.0,15.0,0.0,15.0,-38429.8,-406300.24,False
34,C,1341.0,50.0,14.0,50.0,-38429.8,-406300.24,False
35,A,1407.0,50.0,0.0,50.0,-41455.05,-447755.29,False
35,B,465.0,15.0,0.0,15.0,-41455.05,-447755.29,False
