Time,Node,Stock,Action,Demand,Delivery,Reward
1,A,30.0,0.0,0.0,0.0,0.0
1,B,28.0,0.0,0.0,0.0,0.0
1,C,32.0,0.0,0.0,0.0,0.0
2,A,30.0,0.0,0.0,0.0,201.0
2,B,16.0,0.0,12.0,0.0,201.0
2,C,32.0,0.0,0.0,0.0,201.0
3,A,22.0,0.0,8.0,0.0,432.5
3,B,16.0,0.0,0.0,0.0,432.5
3,C,17.0,0.0,15.0,0.0,432.5
4,A,22.0,15.0,0.0,0.0,150.5
4,B,16.0,0.0,0.0,0.0,150.5
4,C,8.0,0.0,9.0,0.0,150.5
5,A,15.0,15.0,7.0,0.0,-886.0
5,B,16.0,0.0,0.0,0.0,-886.0
5,C,8.0,0.0,15.0,0.0,-886.0
6,A,15.0,15.0,0.0,0.0,-1032.5
6,B,16.0,0.0,0.0,0.0,-1032.5
6,C,8.0,15.0,11.0,0.0,-1032.5
7,A,30.0,15.0,0.0,15.0,-40.0
7,B,16.0,0.0,0.0,0.0,-40.0
7,C,8.0,15.0,0.0,0.0,-40.0
8,A,45.0,15.0,0.0,15.0,164.0
8,B,6.0,0.0,10.0,0.0,164.0
8,C,8.0,0.0,0.0,0.0,164.0
9,A,60.0,0.0,0.0,15.0,-675.5
9,B,6.0,0.0,11.0,0.0,-675.5
9,C,5.0,0.0,3.0,15.0,-675.5
10,A,62.0,0.0,13.0,15.0,441.5
10,B,6.0,0.0,0.0,0.0,441.5
10,C,9.0,0.0,11.0,15.0,441.5
11,A,77.0,0.0,0.0,15.0,-1046.0
11,B,6.0,0.0,0.0,0.0,-1046.0
11,C,9.0,0.0,11.0,0.0,-1046.0
12,A,71.0,0.0,6.0,0.0,-779.5
12,B,6.0,0.0,14.0,0.0,-779.5
12,C,2.0,0.0,7.0,0.0,-779.5
13,A,71.0,0.0,0.0,0.0,-916.5
13,B,0.0,0.0,6.0,0.0,-916.5
13,C,2.0,0.0,6.0,0.0,-916.5
14,A,71.0,0.0,0.0,0.0,-36.5
14,B,0.0,0.0,0.0,0.0,-36.5
14,C,2.0,0.0,0.0,0.0,-36.5
15,A,59.0,0.0,12.0,0.0,209.5
15,B,0.0,0.0,0.0,0.0,209.5
15,C,2.0,0.0,0.0,0.0,209.5
16,A,59.0,0.0,0.0,0.0,-1030.5
16,B,0.0,0.0,0.0,0.0,-1030.5
16,C,2.0,0.0,7.0,0.0,-1030.5
17,A,59.0,0.0,0.0,0.0,-30.5
17,B,0.0,0.0,0.0,0.0,-30.5
17,C,2.0,0.0,0.0,0.0,-30.5
18,A,47.0,0.0,12.0,0.0,-784.5
18,B,0.0,0.0,0.0,0.0,-784.5
18,C,2.0,0.0,10.0,0.0,-784.5
19,A,44.0,0.0,3.0,0.0,-969.5
19,B,0.0,0.0,7.0,0.0,-969.5
19,C,2.0,15.0,0.0,0.0,-969.5
20,A,34.0,0.0,10.0,0.0,-824.5
20,B,0.0,0.0,0.0,0.0,-824.5
20,C,2.0,15.0,10.0,0.0,-824.5
21,A,13.0,15.0,21.0,0.0,393.0
21,B,0.0,15.0,0.0,0.0,393.0
21,C,2.0,15.0,0.0,0.0,393.0
22,A,13.0,15.0,0.0,0.0,191.0
22,B,0.0,15.0,0.0,0.0,191.0
22,C,6.0,15.0,0.0,15.0,191.0
23,A,6.0,15.0,7.0,0.0,-544.5
23,B,0.0,15.0,9.0,0.0,-544.5
23,C,4.0,15.0,6.0,15.0,-544.5
24,A,21.0,15.0,0.0,15.0,503.0
24,B,4.0,15.0,0.0,15.0,503.0
24,C,3.0,50.0,3.0,15.0,503.0
25,A,36.0,15.0,0.0,15.0,436.0
25,B,5.0,15.0,0.0,15.0,436.0
25,C,8.0,15.0,0.0,15.0,436.0
26,A,42.0,15.0,9.0,15.0,746.0
26,B,4.0,0.0,0.0,15.0,746.0
26,C,9.0,0.0,14.0,15.0,746.0
27,A,45.0,0.0,12.0,15.0,383.5
27,B,19.0,0.0,0.0,15.0,383.5
27,C,49.0,0.0,0.0,50.0,383.5
28,A,60.0,0.0,0.0,15.0,3.0
28,B,30.0,0.0,4.0,15.0,3.0
28,C,64.0,0.0,0.0,15.0,3.0
29,A,75.0,0.0,0.0,15.0,141.0
29,B,30.0,0.0,0.0,0.0,141.0
29,C,53.0,0.0,11.0,0.0,141.0
30,A,75.0,0.0,0.0,0.0,-79.0
30,B,30.0,0.0,0.0,0.0,-79.0
30,C,53.0,0.0,0.0,0.0,-79.0
31,A,61.0,0.0,14.0,0.0,536.0
31,B,22.0,0.0,8.0,0.0,536.0
31,C,45.0,0.0,8.0,0.0,536.0
32,A,61.0,0.0,0.0,0.0,182.0
32,B,10.0,0.0,12.0,0.0,182.0
32,C,45.0,0.0,0.0,0.0,182.0
33,A,61.0,0.0,0.0,0.0,65.0
33,B,4.0,0.0,6.0,0.0,65.0
33,C,45.0,0.0,0.0,0.0,65.0
34,A,49.0,0.0,12.0,0.0,-645.0
34,B,4.0,0.0,10.0,0.0,-645.0
34,C,37.0,0.0,8.0,0.0,-645.0
35,A,49.0,0.0,0.0,0.0,-45.0
35,B,4.0,0.0,0.0,0.0,-45.0
